Timestep,Phase Name,Cation,Mole Fraction,Mole Percentage
0,MSFL,Be[CN=IV,0.052561968071508924,5.256196807150893
0,MSFL,Be[Dimer,0.15872051351825556,15.872051351825556
0,MSFL,Li[1+],0.7399944593596388,73.99944593596388
0,MSFL,U[3+],1.4256194380903736e-07,1.4256194380903736e-05
0,MSFL,U[CN=VII,0.0053451258943535635,0.5345125894353564
0,MSFL,U[CN=VI],0.03367995927799049,3.3679959277990488
0,MSFL,U[Dimer],0.009697831316308683,0.9697831316308683
1,MSFL,Ba[2+],1.2742372842182666e-06,0.00012742372842182664
1,MSFL,Be[CN=IV,0.05256609615888616,5.256609615888616
1,MSFL,Be[Dimer,0.15871970232110608,15.871970232110607
1,MSFL,Ce[3+],4.625676561668539e-06,0.0004625676561668539
1,MSFL,Cs[1+],2.2239753030087584e-07,2.2239753030087584e-05
1,MSFL,La[3+],2.4403118154761417e-06,0.00024403118154761418
1,MSFL,Li[1+],0.7399945307241401,73.99945307241401
1,MSFL,Nd[3+],3.256015493857094e-06,0.0003256015493857094
1,MSFL,Pu[3+],2.351375201674704e-12,2.351375201674704e-10
1,MSFL,Rb[1+],8.471507147079113e-09,8.471507147079113e-07
1,MSFL,Sr[2+],1.2425729637916176e-06,0.00012425729637916176
1,MSFL,U[3+],3.845495530358173e-23,3.845495530358173e-21
1,MSFL,U[CN=VII,0.0053434748476776945,0.5343474847677695
1,MSFL,U[CN=VI],0.033667133627310254,3.3667133627310255
1,MSFL,U[Dimer],0.009688143037424208,0.9688143037424207
1,MSFL,Zr[CN=VI,4.3629635244597e-06,0.00043629635244597
1,MSFL,Zr[Dimer,9.468815400054741e-12,9.46881540005474e-10
2,MSFL,Ba[2+],2.1496241527880313e-06,0.00021496241527880312
2,MSFL,Be[CN=IV,0.05257234091230992,5.257234091230992
2,MSFL,Be[Dimer,0.15871838964057586,15.871838964057586
2,MSFL,Ce[3+],8.766208387846608e-06,0.0008766208387846608
2,MSFL,Cs[1+],2.2559500892849502e-07,2.25595008928495e-05
2,MSFL,La[3+],4.4403174487656935e-06,0.00044403174487656934
2,MSFL,Li[1+],0.7399976874749807,73.99976874749808
2,MSFL,Nd[3+],6.1148790096731465e-06,0.0006114879009673146
2,MSFL,Pu[3+],4.183657793650181e-12,4.1836577936501805e-10
2,MSFL,Rb[1+],1.5469998226583704e-08,1.5469998226583703e-06
2,MSFL,Sr[2+],2.2566700597656516e-06,0.00022566700597656514
2,MSFL,U[3+],4.3417489846105336e-23,4.3417489846105335e-21
2,MSFL,U[CN=VII,0.005341603507447791,0.5341603507447791
2,MSFL,U[CN=VI],0.03365398815008974,3.365398815008974
2,MSFL,U[Dimer],0.009676969530199144,0.9676969530199144
2,MSFL,Zr[CN=VI,8.366784294648307e-06,0.0008366784294648308
2,MSFL,Zr[Dimer,3.4805041818729994e-11,3.4805041818729993e-09
3,MSFL,Ba[2+],2.841670706131941e-06,0.0002841670706131941
3,MSFL,Be[CN=IV,0.05257887582556807,5.2578875825568065
3,MSFL,Be[Dimer,0.1587171013790482,15.87171013790482
3,MSFL,Ce[3+],1.3136505095260931e-05,0.0013136505095260932
3,MSFL,Cs[1+],2.2960769807686622e-07,2.296076980768662e-05
3,MSFL,La[3+],6.416914019551692e-06,0.0006416914019551691
3,MSFL,Li[1+],0.7400010531683473,74.00010531683473
3,MSFL,Nd[3+],9.297446708757911e-06,0.0009297446708757912
3,MSFL,Pu[3+],5.050193440119565e-12,5.050193440119565e-10
3,MSFL,Rb[1+],2.272174437210169e-08,2.272174437210169e-06
3,MSFL,Sr[2+],3.279767943056571e-06,0.0003279767943056571
3,MSFL,U[3+],4.52670808033236e-23,4.52670808033236e-21
3,MSFL,U[CN=VII,0.005339663866060166,0.5339663866060166
3,MSFL,U[CN=VI],0.033640295488548355,3.3640295488548357
3,MSFL,U[Dimer],0.009665318980791746,0.9665318980791746
3,MSFL,Zr[CN=VI,1.2489159940076605e-05,0.0012489159940076604
3,MSFL,Zr[Dimer,7.751337449273545e-11,7.751337449273545e-09
4,MSFL,Ba[2+],3.373681963609657e-06,0.0003373681963609657
4,MSFL,Be[CN=IV,0.05258538795702871,5.258538795702871
4,MSFL,Be[Dimer,0.1587157164633676,15.87157164633676
4,MSFL,Ce[3+],1.7514095929455574e-05,0.0017514095929455574
4,MSFL,Cs[1+],2.333280070566409e-07,2.3332800705664088e-05
4,MSFL,La[3+],8.293191465863372e-06,0.0008293191465863372
4,MSFL,Li[1+],0.7400043601712376,74.00043601712376
4,MSFL,Nd[3+],1.2629376420495387e-05,0.0012629376420495388
4,MSFL,Pu[3+],5.174069483344468e-12,5.174069483344469e-10
4,MSFL,Rb[1+],2.9922977846629725e-08,2.9922977846629724e-06
4,MSFL,Sr[2+],4.269407039886685e-06,0.0004269407039886685
4,MSFL,U[3+],4.5356747635082344e-23,4.535674763508235e-21
4,MSFL,U[CN=VII,0.0053377432713868096,0.533774327138681
4,MSFL,U[CN=VI],0.03362680652509929,3.3626806525099293
4,MSFL,U[Dimer],0.009653860225309344,0.9653860225309344
4,MSFL,Zr[CN=VI,1.6557118933569537e-05,0.0016557118933569538
4,MSFL,Zr[Dimer,1.3616637449436531e-10,1.3616637449436531e-08
5,MSFL,Ba[2+],3.797260604226047e-06,0.00037972606042260473
5,MSFL,Be[CN=IV,0.05259178284859591,5.259178284859591
5,MSFL,Be[Dimer,0.1587143414835743,15.87143414835743
5,MSFL,Ce[3+],2.1862851923748233e-05,0.002186285192374823
5,MSFL,Cs[1+],2.3669052301500564e-07,2.3669052301500563e-05
5,MSFL,La[3+],1.0084040509242413e-05,0.0010084040509242412
5,MSFL,Li[1+],0.7400075807508658,74.00075807508658
5,MSFL,Nd[3+],1.6070594808001125e-05,0.0016070594808001125
5,MSFL,Pu[3+],4.906244168052647e-12,4.906244168052647e-10
5,MSFL,Rb[1+],3.7078306675499684e-08,3.7078306675499686e-06
5,MSFL,Sr[2+],5.228980130925729e-06,0.0005228980130925729
5,MSFL,U[3+],4.457015095316258e-23,4.457015095316258e-21
