Timestep,Salt:MSFL,Gas:gas_ideal,Solid:bccsoln,Solid:cphsoln
0,0.6493140020458581,0.0,0.0,0.0
1,0.6493107676217548,7.717666402559169e-06,3.891615315702839e-07,1.9454660251547178e-08
3,0.6493006356534355,2.410360192844634e-05,7.391792090680811e-07,1.6397914831099038e-08
4,0.6492956445192535,3.256150496617554e-05,8.96532209322378e-07,1.6818504224650655e-08
6,0.6492860525608546,4.976347907428689e-05,1.2103884911975564e-06,1.5479950485086426e-08
7,0.6492815366388103,5.845549686504211e-05,1.3683389130162939e-06,1.4852312875486972e-08
8,0.6492771071902734,6.724321789305205e-05,1.5269982129712736e-06,1.4239201463755469e-08
10,0.6492685942494889,8.492550414589675e-05,1.8451400579558477e-06,1.297368941989215e-08
11,0.6492646542036173,9.365415520130855e-05,2.000828907871253e-06,1.2242912066030893e-08
12,0.6492607591555398,0.00010243579197372239,2.1575503424600515e-06,1.1524387135063828e-08
13,0.6492569948795853,0.00011124132912509854,2.323533961017239e-06,3.105766764602655e-09
15,0.6492498432783225,0.0001284982505585728,2.631566855977907e-06,0.0
17,0.6492432023359999,0.00014555993253355368,2.9311455959683455e-06,0.0
19,0.6492369472874856,0.0001624307280669679,3.227511134605198e-06,0.0
20,0.6492343591988345,0.00017036368155623244,3.3666152141099576e-06,0.0
23,0.6492264516863498,0.0001952374474436272,3.8041522969627958e-06,0.0
24,0.6492240280629458,0.0002032465799140364,3.943824003421529e-06,0.0
25,0.6492217907512609,0.000210886546052675,4.07665606851998e-06,0.0
26,0.6492194395562239,0.00021917579210745905,4.223267071357267e-06,0.0
27,0.6492172801662656,0.0002268675671968912,4.356909216108565e-06,0.0
28,0.6492151430551564,0.0002347540713785088,4.495337080000519e-06,0.0
30,0.6492110466051898,0.00025041239484293947,4.769803326677343e-06,0.0
31,0.6492089944046392,0.0002582926991205978,4.907561076843763e-06,0.0
32,0.6492072387389328,0.0002653334931766033,5.028618138809192e-06,0.0
33,0.6492053574578532,0.0002730102000380895,5.163308443901479e-06,0.0
34,0.6492034448579647,0.0002807516476557748,5.298516878385325e-06,0.0
35,0.649201643481538,0.0002881075689961672,5.426075583083894e-06,0.0
37,0.6491982654790464,0.000303203705954614,5.689812560266696e-06,0.0
38,0.6491966375527444,0.00031041342155942446,5.814948631631262e-06,0.0
39,0.6491951718293585,0.00031735769871663543,5.935169441994251e-06,0.0
40,0.6491935784742587,0.0003246504405215984,6.062310106023343e-06,0.0
42,0.649190637559284,0.00033865906532728134,6.305866783361747e-06,0.0
45,0.6491860616010868,0.00036016775072582487,6.6807766739179855e-06,0.0
47,0.6491835254157554,0.0003734028826629456,6.910235870589012e-06,0.0
48,0.6491821547674491,0.00038044069762887926,7.032795739883271e-06,0.0
49,0.6491808143631583,0.0003874607617645002,7.1555000910783784e-06,0.0
50,0.6491800736215315,0.0003931765523773292,7.254483660104573e-06,0.0
51,0.6491785240873159,0.00040096526347880115,7.391430900048195e-06,0.0
52,0.6491777816377596,0.0004067523055378399,7.491872126350779e-06,0.0
53,0.6491765242363046,0.000413844963870834,7.615982662169394e-06,0.0
54,0.6491752045905348,0.00042085867638685405,7.737907520676796e-06,0.0
55,0.649174725694107,0.00042604130994355687,7.82696344572405e-06,0.0
56,0.6491733377684383,0.00043358277635597214,7.960033974027296e-06,0.0
57,0.649172627109082,0.0004393436009135233,8.060014298100194e-06,0.0
58,0.649171979459593,0.00044515264204681007,8.161149723399437e-06,0.0
60,0.6491701848267818,0.00045769769693932257,8.380136573953785e-06,0.0
61,0.6491694066788997,0.00046395789403648485,8.489645117297247e-06,0.0
62,0.6491685419533321,0.00047046462938376486,8.604136052178605e-06,0.0
64,0.6491668459934653,0.0004825234739711039,8.81410843824037e-06,0.0
65,0.6491664218178628,0.0004879463459069924,8.908501068973445e-06,0.0
66,0.6491655198033764,0.0004944836019551656,9.023768177445538e-06,0.0
67,0.6491642967782939,0.0005020687413183259,9.157359625493958e-06,0.0
68,0.6491639842671547,0.0005067139433579358,9.236971162025045e-06,0.0
70,0.6491624101120891,0.0005185764159673305,9.44333585034987e-06,0.0
71,0.6491619560461275,0.0005241458455996488,9.541022402554049e-06,0.0
72,0.6491613376114718,0.0005300728515259113,9.645219940500084e-06,0.0
73,0.649160592365482,0.0005361505668044961,9.751672914954797e-06,0.0
74,0.6491602102080761,0.0005412507005947208,9.840492174958026e-06,0.0
75,0.6491595461841898,0.0005475803261755,9.952074869969032e-06,0.0
76,0.649159149456433,0.0005524365191319632,1.0036019331201159e-05,0.0
77,0.6491585314888351,0.0005585975845369448,1.0144460056128845e-05,0.0
78,0.6491581512188358,0.0005638482213333306,1.0235754758118093e-05,0.0
79,0.6491577496004766,0.0005689634181367071,1.0325081418739011e-05,0.0
80,0.6491572264279952,0.0005744950835160354,1.0421603164166161e-05,0.0
81,0.6491568065167059,0.0005795234024191228,1.0509420106529399e-05,0.0
82,0.6491556767841725,0.0005868049064021303,1.0637560202558009e-05,0.0
83,0.6491553510299164,0.0005916364641503189,1.0721210755741909e-05,0.0
84,0.6491550756488803,0.0005964002080259492,1.0804136100226683e-05,0.0
85,0.6491543928671528,0.0006027759711003865,1.0916749783336379e-05,0.0
86,0.6491541759733622,0.0006071088402600185,1.099139757714527e-05,0.0
87,0.6491531776999458,0.0006139027904141107,1.1110459475858688e-05,0.0
89,0.6491525410542532,0.0006226876530288456,1.1263711313905212e-05,0.0
93,0.6491507621074668,0.0006444022577891666,1.1643824729811059e-05,0.0
94,0.6491505070759946,0.000648630356146747,1.1715779395189727e-05,0.0
96,0.6491499802981023,0.0006577669147806,1.1874870053394104e-05,0.0
97,0.6491494476782818,0.0006634349049212834,1.197422447793388e-05,0.0
98,0.6491489899804854,0.0006690230465728398,1.207247624524939e-05,0.0
99,0.649148812754999,0.000673280987429846,1.2146319591868358e-05,0.0
101,0.6491482728205386,0.0006824077918788869,1.230467986758646e-05,0.0
