Timestep,UF3/UF4 Ratio
0,2.4402622213e-06
1,6.5862306259e-22
2,7.4409321398e-22
3,7.7630967417e-22
4,7.7835902811e-22
5,7.6535550556e-22
6,7.4915146662e-22
7,7.3224485123e-22
8,7.1537120062e-22
9,6.9971388332e-22
10,6.8572967384e-22
11,6.7239098192e-22
12,6.6029234085e-22
13,6.4936275232e-22
14,6.3912765544e-22
15,6.2977588041e-22
16,6.2110793075e-22
18,6.0569059737e-22
19,5.9876242183e-22
20,5.9229652781e-22
21,5.8653080144e-22
22,5.8096656482e-22
24,5.7089234487e-22
25,5.6633929008e-22
26,5.6194483888e-22
27,5.5789564295e-22
28,5.5398528748e-22
29,5.5021188811e-22
30,5.4667519489e-22
31,5.4327909151e-22
32,5.4010102830e-22
33,5.3701215029e-22
34,5.3406193269e-22
35,5.3127249660e-22
36,5.2856326009e-22
37,5.2597863255e-22
38,5.2342168756e-22
39,5.2098869168e-22
40,5.1871020923e-22
41,5.1647070133e-22
42,5.1434817121e-22
43,5.1225834103e-22
44,5.1024590831e-22
45,5.0829318800e-22
46,5.0641306810e-22
47,5.0458000650e-22
49,5.0109495587e-22
50,4.9943668590e-22
51,4.9783515336e-22
52,4.9624081852e-22
53,4.9469424856e-22
54,4.9320313996e-22
55,4.9175075996e-22
57,4.8897730219e-22
58,4.8764741101e-22
59,4.8632162416e-22
60,4.8506198076e-22
61,4.8380118758e-22
63,4.8140202382e-22
64,4.8025604686e-22
65,4.7911461850e-22
66,4.7801022042e-22
67,4.7692749315e-22
68,4.7588938978e-22
69,4.7486335019e-22
70,4.7384533529e-22
71,4.7286803404e-22
73,4.7095924492e-22
74,4.7001906167e-22
75,4.6914928775e-22
76,4.6824279889e-22
77,4.6735916910e-22
78,4.6652867675e-22
79,4.6567422520e-22
81,4.6404775001e-22
82,4.6323795349e-22
83,4.6248253607e-22
85,4.6095445728e-22
87,4.5949118791e-22
88,4.5878639622e-22
89,4.5807717247e-22
92,4.5602614556e-22
93,4.5537905260e-22
94,4.5475130691e-22
95,4.5410117330e-22
96,4.5347908499e-22
97,4.5286379163e-22
99,4.5164466411e-22
100,4.5103740138e-22
101,4.5047314470e-22
102,4.4991946110e-22
103,4.4933274275e-22
104,4.4877983003e-22
105,4.4822815334e-22
106,4.4769309133e-22
107,4.4715045458e-22
109,4.4612621098e-22
110,4.4559326924e-22
111,4.4509736590e-22
112,4.4460280165e-22
113,4.4410939450e-22
114,4.4363070882e-22
115,4.4316397214e-22
117,4.4219767233e-22
118,4.4175850641e-22
119,4.4128480513e-22
121,4.4039307303e-22
123,4.3952939845e-22
124,4.3910831314e-22
125,4.3868134016e-22
127,4.3784028165e-22
128,4.3745987667e-22
129,4.3704543120e-22
130,4.3661779538e-22
131,4.3622859267e-22
133,4.3549657954e-22
134,4.3508329108e-22
135,4.3467074904e-22
136,4.3431043771e-22
137,4.3396269935e-22
138,4.3358948524e-22
139,4.3322955847e-22
140,4.3287729489e-22
142,4.3214782615e-22
143,4.3181942385e-22
144,4.3147042508e-22
145,4.3113061309e-22
