Timestep,Phase Name,Cation,Mole Fraction,Mole Percentage
0,MSFL,Be[CN=IV,0.052561968071508924,5.256196807150893
0,MSFL,Be[Dimer,0.15872051351825556,15.872051351825556
0,MSFL,Li[1+],0.7399944593596388,73.99944593596388
0,MSFL,U[3+],1.4256194380903736e-07,1.4256194380903736e-05
0,MSFL,U[CN=VII,0.0053451258943535635,0.5345125894353564
0,MSFL,U[CN=VI],0.03367995927799049,3.3679959277990488
0,MSFL,U[Dimer],0.009697831316308683,0.9697831316308683
2,MSFL,Ba[2+],2.1411167976658483e-06,0.00021411167976658483
2,MSFL,Be[CN=IV,0.05257231465229538,5.2572314652295375
2,MSFL,Be[Dimer,0.1587183945719913,15.87183945719913
2,MSFL,Ce[3+],8.735557686370747e-06,0.0008735557686370747
2,MSFL,Cs[1+],2.2408186947486394e-07,2.2408186947486394e-05
2,MSFL,La[3+],4.4241911156575584e-06,0.00044241911156575587
2,MSFL,Li[1+],0.7399976897355447,73.99976897355447
2,MSFL,Nd[3+],6.093182274755823e-06,0.0006093182274755823
2,MSFL,Pu[3+],4.197268854222824e-12,4.197268854222824e-10
2,MSFL,Rb[1+],1.54139504702146e-08,1.54139504702146e-06
2,MSFL,Sr[2+],2.2485289262895767e-06,0.00022485289262895767
2,MSFL,U[3+],4.345328877196434e-23,4.345328877196434e-21
2,MSFL,U[CN=VII,0.005341615436941062,0.5341615436941063
2,MSFL,U[CN=VI],0.03365407139596971,3.3654071395969707
2,MSFL,U[Dimer],0.009677031884967722,0.9677031884967722
2,MSFL,Zr[CN=VI,8.33800438732454e-06,0.0008338004387324539
2,MSFL,Zr[Dimer,3.456608999192663e-11,3.456608999192663e-09
3,MSFL,Ba[2+],2.8256976187476043e-06,0.0002825697618747604
3,MSFL,Be[CN=IV,0.05257880349263574,5.257880349263574
3,MSFL,Be[Dimer,0.1587171139576775,15.87171139576775
3,MSFL,Ce[3+],1.307105523291367e-05,0.001307105523291367
3,MSFL,Cs[1+],2.2793650433577515e-07,2.2793650433577516e-05
3,MSFL,La[3+],6.384081008647113e-06,0.0006384081008647113
3,MSFL,Li[1+],0.7400010284412549,74.0001028441255
3,MSFL,Nd[3+],9.25135997702524e-06,0.0009251359977025241
3,MSFL,Pu[3+],5.063028704942901e-12,5.063028704942901e-10
3,MSFL,Rb[1+],2.2607060945453988e-08,2.2607060945453987e-06
3,MSFL,Sr[2+],3.2633073353113212e-06,0.0003263307335311321
3,MSFL,U[3+],4.529772513213076e-23,4.5297725132130765e-21
3,MSFL,U[CN=VII,0.005339688797546278,0.5339688797546278
3,MSFL,U[CN=VI],0.0336404881832714,3.36404881832714
3,MSFL,U[Dimer],0.009665475941774701,0.9665475941774702
3,MSFL,Zr[CN=VI,1.242715499055075e-05,0.001242715499055075
3,MSFL,Zr[Dimer,7.674620963558543e-11,7.674620963558542e-09
4,MSFL,Ba[2+],3.352999340243255e-06,0.0003352999340243255
4,MSFL,Be[CN=IV,0.05258526703585855,5.258526703585855
4,MSFL,Be[Dimer,0.15871574346842,15.871574346842
4,MSFL,Ce[3+],1.7418407014462876e-05,0.0017418407014462875
4,MSFL,Cs[1+],2.3161177875300738e-07,2.316117787530074e-05
4,MSFL,La[3+],8.246968963707631e-06,0.0008246968963707631
4,MSFL,Li[1+],0.7400043180618988,74.00043180618988
4,MSFL,Nd[3+],1.2560871638249828e-05,0.0012560871638249828
4,MSFL,Pu[3+],5.166331460988849e-12,5.166331460988849e-10
4,MSFL,Rb[1+],2.9758740072600364e-08,2.9758740072600366e-06
4,MSFL,Sr[2+],4.246218831263499e-06,0.00042462188312634985
4,MSFL,U[3+],4.533641742021842e-23,4.5336417420218415e-21
4,MSFL,U[CN=VII,0.005337783818641389,0.5337783818641388
4,MSFL,U[CN=VI],0.03362708948995349,3.3627089489953494
4,MSFL,U[Dimer],0.00965409065988164,0.965409065988164
4,MSFL,Zr[CN=VI,1.6467171838120532e-05,0.0016467171838120533
4,MSFL,Zr[Dimer,1.3469219573964612e-10,1.3469219573964613e-08
5,MSFL,Ba[2+],3.7728627003073456e-06,0.00037728627003073454
5,MSFL,Be[CN=IV,0.05259162233042311,5.259162233042311
5,MSFL,Be[Dimer,0.15871437443549258,15.871437443549258
5,MSFL,Ce[3+],2.173672312653898e-05,0.002173672312653898
5,MSFL,Cs[1+],2.3493241193450536e-07,2.3493241193450537e-05
5,MSFL,La[3+],1.0025001502247152e-05,0.0010025001502247152
5,MSFL,Li[1+],0.7400075215669671,74.00075215669672
5,MSFL,Nd[3+],1.5978677230425204e-05,0.0015978677230425204
5,MSFL,Pu[3+],4.90853389083636e-12,4.90853389083636e-10
5,MSFL,Rb[1+],3.6864333481602435e-08,3.6864333481602436e-06
5,MSFL,Sr[2+],5.199242712239088e-06,0.0005199242712239087
5,MSFL,U[3+],4.4575625238961434e-23,4.4575625238961435e-21
5,MSFL,U[CN=VII,0.005335906020524279,0.5335906020524279
5,MSFL,U[CN=VI],0.033613888182021885,3.3613888182021885
5,MSFL,U[Dimer],0.009642907309033744,0.9642907309033744
5,MSFL,Zr[CN=VI,2.045754512145e-05,0.0020457545121450003
5,MSFL,Zr[Dimer,2.0778154170403843e-10,2.0778154170403844e-08
6,MSFL,Ba[2+],4.120045617417515e-06,0.0004120045617417515
6,MSFL,Be[CN=IV,0.0525978643568973,5.25978643568973
6,MSFL,Be[Dimer,0.15871302242866023,15.871302242866022
6,MSFL,Ce[3+],2.600446425708863e-05,0.0026004464257088633
6,MSFL,Cs[1+],2.379366569853444e-07,2.3793665698534438e-05
