Timestep,UF3/UF4 Ratio
0,2.4402622213e-06
2,7.4470393314e-22
3,7.7682812894e-22
4,7.7799967256e-22
5,7.6543589295e-22
6,7.4900340673e-22
7,7.3235806550e-22
8,7.1559859686e-22
10,6.8586159469e-22
13,6.4989046386e-22
14,6.4042283503e-22
15,6.3168786876e-22
16,6.2316930405e-22
17,6.1550034249e-22
18,6.0828661639e-22
19,6.0173168770e-22
21,5.8977810519e-22
22,5.8439024330e-22
23,5.7926259144e-22
24,5.7442968518e-22
27,5.6183931391e-22
28,5.5806538296e-22
29,5.5456375818e-22
30,5.5122900022e-22
31,5.4801661334e-22
32,5.4500181941e-22
33,5.4213031622e-22
35,5.3678510966e-22
36,5.3425572820e-22
37,5.3183205106e-22
38,5.2955623736e-22
39,5.2732645284e-22
41,5.2329439321e-22
43,5.1946101486e-22
44,5.1769025100e-22
45,5.1597568172e-22
47,5.1272270483e-22
48,5.1109763998e-22
49,5.0961946454e-22
50,5.0816567991e-22
51,5.0669041010e-22
52,5.0533494768e-22
53,5.0401484574e-22
54,5.0271617586e-22
56,5.0017233775e-22
57,4.9899737512e-22
59,4.9670553652e-22
62,4.9340271704e-22
63,4.9236960799e-22
64,4.9138694724e-22
65,4.9041423475e-22
66,4.8950350305e-22
67,4.8857246010e-22
69,4.8680567034e-22
70,4.8588662554e-22
71,4.8512207529e-22
72,4.8428409554e-22
73,4.8345911239e-22
74,4.8276801463e-22
75,4.8221350224e-22
76,4.8143816082e-22
77,4.8064372640e-22
79,4.7913392254e-22
80,4.7849195733e-22
81,4.7779851844e-22
82,4.7711703041e-22
83,4.7650505091e-22
84,4.7584167371e-22
85,4.7520670071e-22
86,4.7456607712e-22
88,4.7346678110e-22
89,4.7291571914e-22
90,4.7232894410e-22
91,4.7171855267e-22
92,4.7117171593e-22
93,4.7065993347e-22
94,4.7010010991e-22
95,4.6963606489e-22
97,4.6860572957e-22
98,4.6806221447e-22
99,4.6761687723e-22
100,4.6711291712e-22
101,4.6668531189e-22
102,4.6626616067e-22
103,4.6585371776e-22
104,4.6536910632e-22
105,4.6492295021e-22
106,4.6447806244e-22
107,4.6405086916e-22
108,4.6366560912e-22
109,4.6319254773e-22
110,4.6284303693e-22
111,4.6247342796e-22
114,4.6127710978e-22
115,4.6087060333e-22
116,4.6051072409e-22
117,4.6015421958e-22
118,4.5982126189e-22
119,4.5941366068e-22
120,4.5910860785e-22
121,4.5877683411e-22
122,4.5844107565e-22
124,4.5779683955e-22
125,4.5742982319e-22
126,4.5710400467e-22
128,4.5653052206e-22
129,4.5617985516e-22
130,4.5588582023e-22
132,4.5525935676e-22
133,4.5500371420e-22
134,4.5470320720e-22
135,4.5443967574e-22
136,4.5410236885e-22
137,4.5380945784e-22
138,4.5356914298e-22
139,4.5328696714e-22
141,4.5274976513e-22
142,4.5250941188e-22
143,4.5228205901e-22
144,4.5206204065e-22
145,4.5180723298e-22
146,4.5151432602e-22
147,4.5122683929e-22
148,4.5101272305e-22
149,4.5078980934e-22
150,4.5057188629e-22
151,4.5036588242e-22
152,4.5008392512e-22
153,4.4988240891e-22
155,4.4941308819e-22
156,4.4914110357e-22
157,4.4892160032e-22
158,4.4880075082e-22
159,4.4857727248e-22
160,4.4830063038e-22
161,4.4747997914e-22
162,4.4708675493e-22
163,4.4681621688e-22
164,4.4645482169e-22
165,4.4610072678e-22
166,4.4576487124e-22
167,4.4540690453e-22
168,4.4511008049e-22
169,4.4478143089e-22
170,4.4444481996e-22
171,4.4412284107e-22
172,4.4378534791e-22
173,4.4347209888e-22
174,4.4310046324e-22
175,4.4281320581e-22
177,4.4220017622e-22
178,4.4195929737e-22
179,4.4161683571e-22
181,4.4109241863e-22
182,4.4084507363e-22
183,4.4047385482e-22
184,4.4027187118e-22
186,4.3972466108e-22
187,4.3951084866e-22
188,4.3926231878e-22
189,4.3895402486e-22
191,4.3851281677e-22
192,4.3827067765e-22
195,4.3750751309e-22
196,4.3734524820e-22
198,4.3682076097e-22
199,4.3666264039e-22
200,4.3642579925e-22
201,4.3620545819e-22
202,4.3607143183e-22
204,4.3557952310e-22
205,4.3538480882e-22
207,4.3499784109e-22
210,4.3446169400e-22
213,4.3392085914e-22
214,4.3373759481e-22
216,4.3333899980e-22
217,4.3321065840e-22
219,4.3286757717e-22
220,4.3265300909e-22
222,4.3243115678e-22
225,4.3196343774e-22
231,4.3106763143e-22
232,4.3093029773e-22
234,4.3063585754e-22
237,4.3022731742e-22
238,4.3012746293e-22
239,4.3000473531e-22
240,4.2983926525e-22
241,4.2976174200e-22
