Timestep,Cr2+/Cr3+ Ratio
7,2.5979389700e-18
8,2.5401374048e-18
9,2.4855816913e-18
10,2.4362826508e-18
11,2.3897685164e-18
12,2.3481460787e-18
13,2.3103263655e-18
14,2.2750814666e-18
15,2.2432023860e-18
16,2.2131408194e-18
18,2.1602913195e-18
19,2.1366407954e-18
22,2.0761011546e-18
23,2.0587640348e-18
24,2.0422291325e-18
26,2.0118965093e-18
27,1.9982118279e-18
28,1.9848437230e-18
29,1.9724417418e-18
30,1.9604003746e-18
31,1.9490950057e-18
32,1.9384708620e-18
33,1.9282608296e-18
35,1.9090761581e-18
36,1.9002884441e-18
37,1.8916516669e-18
38,1.8834355162e-18
39,1.8756376883e-18
40,1.8678808350e-18
42,1.8536120646e-18
43,1.8466328219e-18
44,1.8400742699e-18
47,1.8216782077e-18
48,1.8159210775e-18
49,1.8103101790e-18
50,1.8049556946e-18
51,1.7997424143e-18
53,1.7898798651e-18
54,1.7850986478e-18
55,1.7804410160e-18
56,1.7759365095e-18
57,1.7715854106e-18
58,1.7673485775e-18
59,1.7631799262e-18
60,1.7591690692e-18
61,1.7552506294e-18
62,1.7514490273e-18
64,1.7441193039e-18
65,1.7406873207e-18
67,1.7338310355e-18
68,1.7306239218e-18
69,1.7273678507e-18
71,1.7211632352e-18
72,1.7182342544e-18
73,1.7153402220e-18
74,1.7123914055e-18
75,1.7097009045e-18
76,1.7069656455e-18
77,1.7042527569e-18
78,1.7016699549e-18
79,1.6991021097e-18
81,1.6941204312e-18
82,1.6916650078e-18
83,1.6892526201e-18
84,1.6869270517e-18
85,1.6847053388e-18
86,1.6824517020e-18
87,1.6802934369e-18
88,1.6781241111e-18
89,1.6760114831e-18
90,1.6739649248e-18
91,1.6719147974e-18
92,1.6699448820e-18
93,1.6679507426e-18
94,1.6660326027e-18
95,1.6641178184e-18
96,1.6622356445e-18
99,1.6568159806e-18
101,1.6533979154e-18
102,1.6517138168e-18
103,1.6500390193e-18
105,1.6467595858e-18
106,1.6451936025e-18
107,1.6436241749e-18
108,1.6421097391e-18
109,1.6405239066e-18
110,1.6390723644e-18
111,1.6375381816e-18
112,1.6361221321e-18
113,1.6347146425e-18
114,1.6332882777e-18
115,1.6318915685e-18
116,1.6304853271e-18
117,1.6291187851e-18
118,1.6277722490e-18
119,1.6264968735e-18
120,1.6252085864e-18
121,1.6239225965e-18
122,1.6226753726e-18
123,1.6214446535e-18
124,1.6202110172e-18
125,1.6189611705e-18
126,1.6177956912e-18
127,1.6166377333e-18
128,1.6154807234e-18
129,1.6143482641e-18
131,1.6120611965e-18
132,1.6109749946e-18
133,1.6098854274e-18
134,1.6087818393e-18
136,1.6066761325e-18
137,1.6056487066e-18
138,1.6046297207e-18
139,1.6036056679e-18
140,1.6025901509e-18
141,1.6015994186e-18
142,1.6006099294e-18
143,1.5996190107e-18
145,1.5978172908e-18
146,1.5968501025e-18
147,1.5959212092e-18
148,1.5950268674e-18
149,1.5941267209e-18
150,1.5932264814e-18
153,1.5906952558e-18
155,1.5889915448e-18
156,1.5881592113e-18
157,1.5873249205e-18
159,1.5857973035e-18
160,1.5850020794e-18
162,1.5834603648e-18
163,1.5826660279e-18
165,1.5811432428e-18
166,1.5804086690e-18
168,1.5789387434e-18
169,1.5782028091e-18
170,1.5774799390e-18
172,1.5761044855e-18
173,1.5754213980e-18
174,1.5747331445e-18
175,1.5741044597e-18
176,1.5734418181e-18
177,1.5727653692e-18
178,1.5721044634e-18
179,1.5714365549e-18
180,1.5707711821e-18
181,1.5701625240e-18
182,1.5695035222e-18
183,1.5689363407e-18
184,1.5682963454e-18
185,1.5676621999e-18
186,1.5670754288e-18
187,1.5664622918e-18
189,1.5653197765e-18
190,1.5647337249e-18
191,1.5641560011e-18
193,1.5630276881e-18
194,1.5624258502e-18
195,1.5618581514e-18
196,1.5613287692e-18
198,1.5602957186e-18
199,1.5597728350e-18
200,1.5591957759e-18
201,1.5586730082e-18
202,1.5581603844e-18
203,1.5576265271e-18
204,1.5570844652e-18
206,1.5560787691e-18
207,1.5556201022e-18
208,1.5551132867e-18
209,1.5545959207e-18
210,1.5541664437e-18
213,1.5527099769e-18
214,1.5522244145e-18
216,1.5512721983e-18
217,1.5508638486e-18
219,1.5499384476e-18
220,1.5495045399e-18
223,1.5481952504e-18
226,1.5468763557e-18
227,1.5464590866e-18
229,1.5456510294e-18
235,1.5432243550e-18
236,1.5428384687e-18
237,1.5424948074e-18
238,1.5421254773e-18
239,1.5417293714e-18
240,1.5413591709e-18
241,1.5409785453e-18
242,1.5406423085e-18
243,1.5402512824e-18
244,1.5398593613e-18
245,1.5395379083e-18
253,1.5366923589e-18
256,1.5357506436e-18
