Timestep,UF3/UF4 Ratio
0,2.4402622213e-06
1,6.5862306259e-22
2,7.4402527165e-22
4,7.7756968235e-22
5,7.6541851677e-22
6,7.4955188947e-22
7,7.3286237276e-22
8,7.1615922725e-22
9,7.0039963005e-22
10,6.8615111713e-22
11,6.7269973886e-22
12,6.6065371268e-22
13,6.4969199352e-22
14,6.3947265698e-22
15,6.3021637229e-22
16,6.2148496095e-22
18,6.0609476807e-22
19,5.9919759777e-22
22,5.8147294521e-22
23,5.7638248460e-22
24,5.7151630118e-22
26,5.6258209953e-22
27,5.5854245911e-22
28,5.5458996605e-22
29,5.5091549657e-22
30,5.4734596980e-22
31,5.4397500397e-22
32,5.4080798679e-22
33,5.3778848133e-22
35,5.3205154149e-22
36,5.2940164521e-22
37,5.2682062276e-22
38,5.2434390535e-22
39,5.2200300344e-22
40,5.1968048818e-22
42,5.1535712708e-22
43,5.1326146540e-22
44,5.1127498488e-22
47,5.0567594409e-22
48,5.0392898226e-22
49,5.0221916745e-22
50,5.0058977090e-22
51,4.9897942682e-22
53,4.9594303980e-22
54,4.9448237303e-22
55,4.9305088531e-22
56,4.9165381184e-22
57,4.9032333523e-22
58,4.8900438556e-22
59,4.8771448900e-22
60,4.8646898901e-22
61,4.8524854043e-22
62,4.8406858249e-22
64,4.8176936978e-22
65,4.8071801411e-22
67,4.7856008463e-22
68,4.7755759588e-22
69,4.7652567206e-22
71,4.7457345497e-22
72,4.7366011283e-22
73,4.7273091773e-22
74,4.7179676539e-22
75,4.7094876678e-22
76,4.7006876645e-22
77,4.6920841365e-22
78,4.6839467801e-22
79,4.6756719808e-22
81,4.6599091013e-22
82,4.6520485725e-22
83,4.6443233910e-22
84,4.6368213722e-22
85,4.6298865203e-22
86,4.6223774771e-22
87,4.6154609836e-22
88,4.6084671110e-22
89,4.6016391605e-22
90,4.5950101225e-22
91,4.5884295900e-22
92,4.5820051379e-22
93,4.5754686120e-22
94,4.5692510987e-22
95,4.5630683900e-22
96,4.5569286866e-22
99,4.5392701948e-22
101,4.5280609523e-22
102,4.5224434337e-22
103,4.5169621214e-22
105,4.5060996331e-22
106,4.5010354261e-22
107,4.4959487319e-22
108,4.4908832038e-22
109,4.4855651344e-22
110,4.4808089099e-22
111,4.4755822287e-22
112,4.4711105940e-22
113,4.4663186621e-22
114,4.4615931887e-22
115,4.4570452091e-22
116,4.4521149401e-22
117,4.4475443020e-22
118,4.4431708500e-22
119,4.4390363488e-22
120,4.4346497446e-22
121,4.4302150190e-22
122,4.4261310412e-22
123,4.4219677927e-22
124,4.4178896920e-22
125,4.4135086252e-22
126,4.4097424157e-22
127,4.4057787075e-22
128,4.4018122135e-22
129,4.3980241906e-22
131,4.3901802357e-22
132,4.3865788809e-22
133,4.3828808353e-22
134,4.3791022643e-22
136,4.3719799058e-22
137,4.3684498373e-22
138,4.3650269266e-22
139,4.3617024125e-22
140,4.3580345957e-22
141,4.3545866566e-22
142,4.3512644058e-22
143,4.3476785365e-22
145,4.3417857164e-22
146,4.3382388541e-22
147,4.3349589530e-22
148,4.3320247036e-22
149,4.3289200327e-22
150,4.3258137045e-22
153,4.3170983961e-22
155,4.3110491850e-22
156,4.3082023075e-22
157,4.3051000148e-22
159,4.3000041511e-22
160,4.2971051697e-22
162,4.2918611146e-22
163,4.2889837492e-22
165,4.2835283315e-22
166,4.2811194278e-22
168,4.2758678847e-22
169,4.2733344297e-22
170,4.2708886035e-22
172,4.2659722702e-22
173,4.2636238965e-22
174,4.2610649270e-22
175,4.2590100901e-22
176,4.2564303211e-22
177,4.2539364650e-22
178,4.2516804086e-22
179,4.2493663955e-22
180,4.2468432338e-22
181,4.2448171587e-22
182,4.2423276938e-22
183,4.2405682682e-22
184,4.2382130295e-22
185,4.2358629432e-22
186,4.2337754335e-22
187,4.2314536214e-22
189,4.2275025225e-22
190,4.2255196067e-22
191,4.2233264917e-22
193,4.2192520389e-22
194,4.2170768263e-22
195,4.2150519267e-22
196,4.2131791643e-22
198,4.2099368479e-22
199,4.2077433907e-22
200,4.2054349674e-22
201,4.2034041516e-22
202,4.2015965445e-22
203,4.1996987174e-22
204,4.1976786975e-22
206,4.1940918929e-22
207,4.1925372746e-22
208,4.1905966923e-22
209,4.1884691589e-22
210,4.1869681217e-22
213,4.1816427072e-22
214,4.1797915941e-22
216,4.1763410623e-22
217,4.1750102145e-22
219,4.1715262328e-22
220,4.1698350231e-22
223,4.1649718168e-22
226,4.1602391606e-22
227,4.1584053940e-22
229,4.1555883748e-22
235,4.1466186396e-22
236,4.1449007148e-22
237,4.1437740102e-22
238,4.1423545403e-22
239,4.1407914958e-22
240,4.1395188913e-22
241,4.1379128648e-22
242,4.1367947757e-22
243,4.1351005426e-22
244,4.1337135833e-22
245,4.1326496700e-22
253,4.1214411537e-22
256,4.1182430939e-22
