Timestep,S:MSFL,S:MSFL#3
0,0.6493140020458581,0.0
1,0.6493107676217548,0.0
2,0.6493059116060843,0.0
3,0.6493006799103236,0.0
4,0.6492956951182014,0.0
5,0.6492908184531805,0.0
6,0.6492861324981252,0.0
7,0.6492815890778949,0.0
10,0.6492687744296647,0.0
11,0.6492648265579064,0.0
12,0.6492610947794974,0.0
13,0.6492574831451959,0.0
14,0.6492543560353571,0.0
15,0.6492512798246091,0.0
16,0.6492482375216387,0.0
18,0.6492427859152418,0.0
19,0.6492400754046632,0.0
20,0.6492376903669596,0.0
21,0.6492353367545741,0.0
22,0.6492329924536623,0.0
23,0.6492306387866715,0.0
24,0.6492283892819862,0.0
25,0.6492267124365514,0.0
26,0.6492241561918459,0.0
27,0.6492223811640322,0.0
29,0.6492188342861813,0.0
30,0.6492168781386725,0.0
32,0.6492136147251011,0.0
33,0.6492121628525283,0.0
34,0.6492106118068162,0.0
35,0.6492088741021684,0.0
37,0.6492064521221399,0.0
39,0.6492040503857234,0.0
40,0.6492024961950926,0.0
41,0.6492017488238535,0.0
43,0.6491996336327733,0.0
44,0.6491989014845794,0.0
45,0.6491971387804016,0.0
47,0.6491958242677363,0.0
48,0.6491945031941132,0.0
49,0.6491935729289079,0.0
50,0.6491929190799861,0.0
51,0.6491922991953224,0.0
52,0.6491914711435657,0.0
53,0.6491906794163872,0.0
54,0.6491901029315366,0.0
55,0.6491893198005212,0.0
56,0.6491887480383592,0.0
57,0.6491887082971017,0.0
58,0.6491871203236816,0.0
59,0.6491864917339856,0.0
60,0.6491859898766457,0.0
61,0.6491857022169794,0.0
62,0.6491850395453792,0.0
63,0.649184505610822,0.0
64,0.6491830755780041,0.0
65,0.649182703436309,0.0
66,0.6491822902215006,0.0
67,0.6491816851102399,0.0
68,0.6491811164370267,0.0
69,0.6491802301120067,0.0
70,0.6491803230164012,0.0
71,0.6491798892112135,0.0
72,0.6491786245438165,0.0
73,0.6491782339934906,0.0
74,0.6491782577082847,0.0
75,0.649177814602072,0.0
76,0.6491772550667966,0.0
78,0.6491761963481322,0.0
79,0.6491757238474315,0.0
81,0.6491744904472745,0.0
82,0.6491744213518128,0.0
83,0.6491743398626152,0.0
84,0.6491742736609936,0.0
85,0.6491732718385238,0.0
86,0.6491729465068414,0.0
87,0.649172468269941,0.0
88,0.6491719526896,0.0
89,0.6491714870146567,0.0
90,0.6491714734931984,0.0
91,0.6491709177292735,0.0
92,0.6491702749649371,0.0
93,0.6491704268221843,0.0
94,0.649169761271529,0.0
95,0.6491699021727956,0.0
96,0.0,0.0
97,0.6491693934353122,0.0
98,0.6491684336847735,0.0
99,0.6491689055975607,0.0
100,0.6491683787591932,0.0
101,0.6491677727261612,0.0
102,0.649167218236837,0.0
104,0.6491667833232824,0.0
105,0.6491669332211499,0.0
106,0.6491664403531464,0.0
107,0.6491660569673464,0.0
108,0.6491662377811315,0.0
109,0.6491662106349594,0.0
110,0.6491653980209011,0.0
111,0.6491653954207843,0.0
112,0.649165255561188,0.0
113,0.6491654207444681,0.0
114,0.649164804253182,0.0
115,0.6491651195486595,0.0
116,0.6491644055088508,0.0
117,0.6491655123677657,0.0
120,0.6491641156952497,0.0
123,0.6491639077660343,0.0
124,0.6491638922264847,0.0
125,0.6491631674116091,0.0
126,0.6491632763651888,0.0
128,0.6491637223844035,0.0
129,0.6491642381062338,0.0
130,0.6491649572940239,0.0
131,0.6491648734881745,0.0
132,0.6491647120842026,0.0
134,0.6491645507215661,0.0
136,0.6491644671570816,0.0
138,0.6491644999197593,0.0
140,0.6491643649437434,0.0
142,0.6491634384780679,0.0
143,0.6491638146519533,0.0
144,0.6491636222625946,0.0
146,0.6491631889541362,0.0
148,0.64916392490171,0.0
150,0.6491627703052351,0.0
151,0.6491617766895816,0.0
152,0.6491620077051976,0.0
154,0.649163266013062,0.0
156,0.6491618532655516,0.0
157,0.6491618965171221,0.0
159,0.6491613009626228,0.0
164,0.6491614190262357,0.0
168,0.6491610103162888,0.0
