Timestep,Salt:MSFL,Gas:gas_ideal,Solid:bccsoln,Solid:cphsoln
0,0.6493140020458581,0.0,0.0,0.0
1,0.6493107676217548,7.717666402559169e-06,3.891615315702839e-07,1.9454660251547178e-08
2,0.6493058876417622,1.574079165037839e-05,5.757505631731478e-07,1.78013656371336e-08
4,0.6492955786377325,3.263383193956792e-05,8.989653399002582e-07,1.68941361496944e-08
5,0.649290663154565,4.123334547460404e-05,1.056250352903575e-06,1.621210031283822e-08
6,0.6492859374761084,4.989522235202643e-05,1.214010905393019e-06,1.5563935683165118e-08
7,0.6492813491758015,5.862397547991828e-05,1.3724674666763026e-06,1.4934560120315868e-08
8,0.6492769493243845,6.744497393111685e-05,1.5316977664528097e-06,1.4322001657329097e-08
9,0.6492726280207262,7.633276357785085e-05,1.6915988872560813e-06,1.3704350951286296e-08
10,0.6492684323632436,8.518404385020784e-05,1.8511793642948272e-06,1.3054681539728156e-08
11,0.6492643782961797,9.414590917616957e-05,2.011686253462362e-06,1.2403499143179838e-08
12,0.6492604697661055,0.00010296633283427054,2.1768010248561817e-06,4.761434030778329e-09
13,0.6492566656433326,0.00011185824932097993,2.3367852616258917e-06,3.164064742421414e-09
14,0.6492529424726113,0.00012067471569717892,2.4944942447729416e-06,1.522651596121141e-09
15,0.6492493978363371,0.00012944831683274436,2.651245267291468e-06,0.0
16,0.6492459299563091,0.00013827523497625854,2.807144638578729e-06,0.0
18,0.6492393331835187,0.00015579984456148407,3.1168638947253104e-06,0.0
19,0.6492361823219893,0.0001644935940578281,3.269918146594794e-06,0.0
22,0.6492276563769772,0.00019044636246442817,3.7292272362607285e-06,0.0
23,0.6492251828048047,0.0001988518565110045,3.878200081166459e-06,0.0
24,0.6492226049060293,0.00020750262360112146,4.03158090915565e-06,0.0
26,0.6492177639155519,0.00022431917103579708,4.328044166957117e-06,0.0
27,0.6492155575361905,0.0002325501642279376,4.473465270418831e-06,0.0
28,0.6492132458850554,0.00024100522883918073,4.6221772083875945e-06,0.0
29,0.6492110545236082,0.00024932688178815125,4.769362531726211e-06,0.0
30,0.649208957827913,0.00025754064054159503,4.913406258252066e-06,0.0
31,0.6492070329957152,0.0002658636737764982,5.059830921774926e-06,0.0
32,0.6492049916173046,0.0002741865830895627,5.207178597338567e-06,0.0
33,0.6492028850208563,0.0002820628699708656,5.34523416290193e-06,0.0
35,0.6491990509400856,0.0002985899313544589,5.6367786674244e-06,0.0
36,0.6491974088938508,0.0003067126009986873,5.7805489595910115e-06,0.0
37,0.6491953976406936,0.00031484803802204597,5.9235441021054685e-06,0.0
38,0.6491938783929565,0.00032280417892136654,6.063157140911725e-06,0.0
39,0.6491922325334321,0.0003305834143587668,6.200405727411375e-06,0.0
40,0.6491903957851806,0.00033857495074374893,6.340532946735433e-06,0.0
42,0.6491873510339359,0.0003544429206290983,6.6204179414230785e-06,0.0
43,0.6491856382155027,0.0003622646785184571,6.756869442123548e-06,0.0
44,0.6491841374476623,0.00036999879625244876,6.892444553747878e-06,0.0
47,0.6491797374971002,0.00039341905189613674,7.303796700149377e-06,0.0
48,0.6491783285041512,0.00040096844123350907,7.436097331521946e-06,0.0
49,0.6491769505134768,0.000408578130217616,7.568912643154526e-06,0.0
50,0.6491757276434901,0.0004158917359249275,7.697100516575292e-06,0.0
51,0.6491743858517676,0.0004238138655931073,7.836485012859679e-06,0.0
53,0.6491718100606345,0.0004391221294816055,8.106686803802388e-06,0.0
54,0.6491705953702146,0.0004464765296000229,8.235781671511093e-06,0.0
55,0.6491695402815043,0.0004535750792598895,8.359174939163366e-06,0.0
56,0.649168247542895,0.00046135221008321314,8.496066242925021e-06,0.0
57,0.6491671446890769,0.00046839780101912663,8.6195528878821e-06,0.0
58,0.6491660420057653,0.0004758050706593518,8.749026908876268e-06,0.0
59,0.649164910698718,0.0004831571728822031,8.877847356112604e-06,0.0
60,0.6491637991161797,0.0004904646036322046,9.005992740417054e-06,0.0
61,0.649162712554035,0.0004978529793645904,9.135349233120346e-06,0.0
62,0.6491616843286031,0.0005049367600265315,9.259231191884363e-06,0.0
64,0.6491594260502433,0.0005199278225406169,9.522858502790277e-06,0.0
65,0.6491590066394183,0.0005257970570275581,9.625561874143865e-06,0.0
67,0.6491569270346692,0.0005405582651938999,9.884809554944862e-06,0.0
68,0.6491562395743552,0.0005472743039058664,1.0003080972279307e-05,0.0
69,0.6491550505124328,0.0005551042328443541,1.0141322099067067e-05,0.0
71,0.6491532874972357,0.0005689012536292759,1.0383014729274341e-05,0.0
72,0.6491528141997628,0.000575132131369217,1.0492497198049124e-05,0.0
73,0.6491519260628373,0.0005823495591943584,1.0619535781242295e-05,0.0
74,0.6491508528283209,0.0005897922817485436,1.0750327993785978e-05,0.0
75,0.6491504534909653,0.0005958811009755537,1.0857773199649988e-05,0.0
76,0.6491495067894851,0.0006032237692520178,1.098718329796339e-05,0.0
77,0.6491486400881268,0.0006100556112188173,1.1106239772920206e-05,0.0
78,0.6491481482844964,0.0006164150332927572,1.1218618782882645e-05,0.0
79,0.6491473186477503,0.0006234064936078645,1.1341645476915272e-05,0.0
81,0.6491461600693007,0.000636004403089595,1.1561868985553769e-05,0.0
82,0.649145378395706,0.0006427704299123357,1.1680425025453402e-05,0.0
83,0.6491446215684473,0.0006494919377781833,1.1798071260539829e-05,0.0
84,0.6491440256592158,0.000656362365308589,1.1919802534262478e-05,0.0
85,0.6491438438766337,0.0006616089568254497,1.2011370394003778e-05,0.0
86,0.6491427996693317,0.0006694997885962491,1.2150913309789076e-05,0.0
87,0.6491424232311827,0.0006756525353801698,1.2259401646969453e-05,0.0
88,0.649141930640217,0.0006822090894931264,1.2375121588937282e-05,0.0
89,0.6491414998505283,0.00068867477046384,1.248925021043658e-05,0.0
90,0.6491410970600041,0.0006949238765346387,1.259945424647111e-05,0.0
91,0.6491406833690362,0.000701109638020971,1.2708439313380756e-05,0.0
