Timestep,Phase Type,Phase Name,Species,Mole Percentage
4,solution,gas_ideal,Cs2F2,4.586476707968727e-24
4,solution,gas_ideal,Cs2ZrF6,9.620758863189674e-25
4,solution,gas_ideal,CsBeF3,5.422986054205354e-10
4,solution,gas_ideal,CsF,1.0247977208902706e-12
4,solution,gas_ideal,CsUF5,2.5998313401959454e-12
4,solution,gas_ideal,CsZr2F9,1.115457464694128e-18
4,solution,gas_ideal,CsZrF5,5.0334225853457924e-14
4,solution,gas_ideal,F,1.529835664002076
4,solution,gas_ideal,F2,22.279058153832263
4,solution,gas_ideal,He,20.625424952016573
4,solution,gas_ideal,La,6.504232849898321e-153
4,solution,gas_ideal,La2,3.098179753874753e-197
4,solution,gas_ideal,LaF3,5.559743015826351e-16
4,solution,gas_ideal,Li,1.8216808661111896e-33
4,solution,gas_ideal,Li2,1.51055946233564e-66
4,solution,gas_ideal,Li2BeF4,9.176423064554656e-07
4,solution,gas_ideal,Li2F2,1.2103266365132897e-07
4,solution,gas_ideal,Li2ZrF6,7.884834869323179e-11
4,solution,gas_ideal,Li3F3,1.7292595023279248e-09
4,solution,gas_ideal,LiBeF3,3.455417260874563e-05
4,solution,gas_ideal,LiF,8.149473742215458e-07
4,solution,gas_ideal,LiUF5,1.7772689584321907e-08
4,solution,gas_ideal,LiZr2F9,9.789790171133897e-16
4,solution,gas_ideal,Nd,1.03767588237765e-141
4,solution,gas_ideal,NdF3,2.9386950122582862e-15
4,solution,gas_ideal,Ne,0.5438219276236309
4,solution,gas_ideal,Pu,8.55285280821939e-140
4,solution,gas_ideal,PuF,2.1186718104997468e-103
4,solution,gas_ideal,PuF2,2.8369046699801103e-50
4,solution,gas_ideal,PuF3,1.3335656216899065e-21
4,solution,gas_ideal,PuF4,1.9135959176597825e-133
4,solution,gas_ideal,PuF6,55.021582017365766
4,solution,gas_ideal,Rb,1.0788576521036565e-32
4,solution,gas_ideal,Rb2,1.5880539028993313e-67
4,solution,gas_ideal,Rb2F2,1.4009105231909089e-18
4,solution,gas_ideal,RbF,6.727436362775602e-11
4,solution,gas_ideal,Sr,6.326841692403925e-67
4,solution,gas_ideal,Sr2,3.242974924051147e-160
4,solution,gas_ideal,SrF,3.3931897614490575e-42
4,solution,gas_ideal,SrF2,1.106809838567311e-17
4,solution,gas_ideal,U,8.746174936882365e-155
4,solution,gas_ideal,UF3,6.454818306749988e-34
4,solution,gas_ideal,UF4,4.685770681718933e-07
4,solution,gas_ideal,Zr,2.9371103959939213e-151
4,solution,gas_ideal,ZrF,1.0619734186362071e-122
4,solution,gas_ideal,ZrF2,3.665704944763198e-63
4,solution,gas_ideal,ZrF3,1.0073506811061572e-35
4,solution,gas_ideal,ZrF4,1.3718806099583247e-07
5,solution,bccsoln,Mo,99.05925722498085
5,solution,bccsoln,Pd,0.012234228184263122
5,solution,bccsoln,Ru,0.7833739057788386
5,solution,bccsoln,Tc,0.14513464105604906
5,solution,cphsoln,Mo,24.64928253183838
5,solution,cphsoln,Pd,7.529976734847321
5,solution,cphsoln,Ru,67.80905942527352
5,solution,cphsoln,Tc,0.011681308040766706
5,solution,gas_ideal,Ba,6.677888337100354e-69
5,solution,gas_ideal,Ba2,3.144496082450202e-161
5,solution,gas_ideal,BaF,3.8165567986950415e-41
5,solution,gas_ideal,BaF2,7.297692645200417e-16
5,solution,gas_ideal,Be,8.358689283770612e-63
5,solution,gas_ideal,Be2,8.274609843778665e-149
5,solution,gas_ideal,Be2F4,1.3372172856991857e-08
5,solution,gas_ideal,BeF,2.9114884662459546e-36
5,solution,gas_ideal,BeF2,0.00024018846337053683
5,solution,gas_ideal,Ce,1.0436972959797967e-144
5,solution,gas_ideal,Ce2,2.4528318429753382e-197
5,solution,gas_ideal,CeF3,8.112343609328476e-15
5,solution,gas_ideal,Cs,2.6490450765110006e-36
5,solution,gas_ideal,Cs2,2.5984057602590963e-106
5,solution,gas_ideal,Cs2Be2F6,5.504492259927688e-20
5,solution,gas_ideal,Cs2F2,4.7217222735821964e-24
5,solution,gas_ideal,Cs2ZrF6,1.2295893839560409e-24
5,solution,gas_ideal,CsBeF3,5.501226172783494e-10
5,solution,gas_ideal,CsF,1.039797512440005e-12
5,solution,gas_ideal,CsUF5,2.6360747706224067e-12
5,solution,gas_ideal,CsZr2F9,1.7443060824241796e-18
5,solution,gas_ideal,CsZrF5,6.340208581520788e-14
