Timestep,Cr2+/Cr3+ Ratio
7,2.6045854659e-18
8,2.5456372553e-18
10,2.4410420600e-18
12,2.3530145871e-18
13,2.3158089865e-18
16,2.2235006456e-18
17,2.1971423248e-18
18,2.1731244454e-18
19,2.1505451620e-18
20,2.1300255948e-18
22,2.0930702066e-18
24,2.0609843656e-18
25,2.0463716119e-18
26,2.0327090072e-18
27,2.0199597167e-18
28,2.0076576634e-18
29,1.9968046020e-18
30,1.9862318305e-18
33,1.9581016937e-18
35,1.9411897743e-18
36,1.9335352270e-18
37,1.9261601105e-18
38,1.9190465015e-18
39,1.9124042364e-18
40,1.9059792983e-18
42,1.8937486229e-18
44,1.8822994782e-18
45,1.8770302055e-18
46,1.8720002580e-18
47,1.8671831017e-18
48,1.8623589567e-18
49,1.8579356184e-18
50,1.8535604882e-18
51,1.8491157400e-18
53,1.8409112925e-18
55,1.8331566433e-18
56,1.8295036217e-18
57,1.8261551753e-18
59,1.8190952126e-18
60,1.8158475989e-18
61,1.8127409805e-18
62,1.8098750970e-18
63,1.8068307894e-18
64,1.8038880732e-18
65,1.8012074765e-18
67,1.7957456213e-18
69,1.7907418453e-18
71,1.7858506915e-18
72,1.7836006719e-18
73,1.7814729201e-18
74,1.7793226619e-18
75,1.7771048071e-18
77,1.7730858117e-18
78,1.7709244242e-18
79,1.7690158516e-18
80,1.7668781254e-18
81,1.7649961792e-18
83,1.7613859114e-18
84,1.7596612090e-18
85,1.7579479787e-18
87,1.7546768384e-18
88,1.7529468652e-18
90,1.7497115077e-18
91,1.7481742999e-18
92,1.7465695545e-18
94,1.7436705816e-18
95,1.7384684348e-18
96,1.7358822428e-18
97,1.7340005132e-18
99,1.7302794168e-18
100,1.7283715262e-18
101,1.7264130533e-18
102,1.7245530926e-18
104,1.7206659248e-18
105,1.7189651269e-18
106,1.7172694702e-18
107,1.7154449838e-18
108,1.7137480232e-18
109,1.7119342205e-18
110,1.7103000904e-18
111,1.7087090564e-18
112,1.7070579079e-18
114,1.7037449482e-18
115,1.7022456007e-18
116,1.7008358075e-18
117,1.6994659858e-18
118,1.6978973909e-18
119,1.6965150585e-18
120,1.6952439938e-18
121,1.6938483724e-18
122,1.6925746691e-18
123,1.6913984935e-18
124,1.6900159787e-18
125,1.6886373909e-18
126,1.6874885901e-18
128,1.6851686487e-18
130,1.6828963234e-18
132,1.6808239182e-18
136,1.6767016319e-18
138,1.6747843364e-18
139,1.6738928025e-18
140,1.6730661666e-18
146,1.6681182891e-18
148,1.6665703319e-18
154,1.6624247241e-18
156,1.6610537639e-18
162,1.6572069968e-18
164,1.6560437849e-18
