Timestep,UF3/UF4 Ratio
1,6.5862306259e-22
2,7.4583086131e-22
3,7.7978302269e-22
4,7.8157129684e-22
5,7.6845069260e-22
6,7.5181854247e-22
7,7.3476749046e-22
8,7.1774804568e-22
10,6.8753368857e-22
12,6.6209528638e-22
13,6.5136620694e-22
16,6.2461826996e-22
17,6.1701623694e-22
18,6.1005202860e-22
19,6.0350463647e-22
20,5.9755340815e-22
22,5.8678877849e-22
24,5.7746657723e-22
25,5.7321467253e-22
26,5.6923462438e-22
27,5.6549721697e-22
28,5.6191181696e-22
29,5.5874849646e-22
30,5.5562661135e-22
33,5.4739404756e-22
35,5.4239168143e-22
36,5.4016332042e-22
37,5.3800210362e-22
38,5.3591455964e-22
39,5.3397764827e-22
40,5.3207093036e-22
42,5.2842165176e-22
44,5.2507114789e-22
45,5.2351997087e-22
46,5.2199697767e-22
47,5.2061474860e-22
48,5.1915195711e-22
49,5.1786111042e-22
50,5.1654321737e-22
51,5.1517188314e-22
53,5.1277365636e-22
55,5.1043226508e-22
56,5.0936187553e-22
57,5.0839906336e-22
59,5.0622361067e-22
60,5.0528224793e-22
61,5.0435496012e-22
62,5.0353930227e-22
63,5.0261554127e-22
64,5.0171365003e-22
65,5.0095507216e-22
67,4.9929880272e-22
69,4.9775592712e-22
71,4.9630434717e-22
72,4.9567617496e-22
73,4.9502282505e-22
74,4.9439439587e-22
75,4.9369156504e-22
77,4.9250020344e-22
78,4.9181360552e-22
79,4.9125966658e-22
80,4.9059537666e-22
81,4.9002362922e-22
83,4.8896720046e-22
84,4.8846218734e-22
85,4.8792136385e-22
87,4.8700981450e-22
88,4.8644333845e-22
90,4.8546310375e-22
91,4.8497087018e-22
92,4.8442482433e-22
94,4.8360112600e-22
95,4.8211858085e-22
96,4.8120905974e-22
97,4.8066582232e-22
99,4.7950674650e-22
100,4.7884307215e-22
101,4.7820353461e-22
102,4.7764529338e-22
104,4.7638862421e-22
105,4.7587839117e-22
106,4.7535435489e-22
107,4.7476825909e-22
108,4.7424653404e-22
109,4.7358015405e-22
110,4.7314138514e-22
111,4.7266955468e-22
112,4.7212430107e-22
114,4.7111356793e-22
115,4.7062809927e-22
116,4.7020400748e-22
117,4.6980794128e-22
118,4.6931241246e-22
119,4.6889228913e-22
120,4.6852914272e-22
121,4.6807921939e-22
122,4.6768739003e-22
123,4.6738902316e-22
124,4.6687805631e-22
125,4.6641875207e-22
126,4.6607454045e-22
128,4.6541654796e-22
130,4.6467418673e-22
132,4.6407762998e-22
136,4.6277001004e-22
138,4.6216030074e-22
139,4.6192896440e-22
140,4.6171617269e-22
146,4.6017592789e-22
148,4.5970386508e-22
154,4.5840348951e-22
156,4.5795047776e-22
162,4.5678003796e-22
164,4.5643412794e-22
