Timestep,UF3/UF4 Ratio
253,7.5297839557e-22
254,7.5290018547e-22
255,7.5282537622e-22
256,7.5163918945e-22
257,7.5156578612e-22
258,7.5095703237e-22
259,7.5026145973e-22
260,7.5345329822e-22
261,7.4864456691e-22
262,7.4858646662e-22
264,7.4811148719e-22
265,7.4675162305e-22
266,7.4601979116e-22
267,7.4595228694e-22
269,7.4397333358e-22
270,7.5030136902e-22
271,7.4370157582e-22
272,7.4386378952e-22
273,7.4259172510e-22
275,7.4176598202e-22
276,7.4086829095e-22
277,7.4078126311e-22
279,7.3908741086e-22
281,7.3805949279e-22
282,7.3799386624e-22
283,7.3701875121e-22
284,7.3829053363e-22
285,7.3683133910e-22
286,7.3566817509e-22
287,7.3518643121e-22
288,7.3481355068e-22
289,7.3475183304e-22
290,7.3334291248e-22
291,7.3312078129e-22
292,7.3307841648e-22
293,7.3283252079e-22
294,7.3224652904e-22
295,7.3129352034e-22
296,7.3121258060e-22
297,7.2973021378e-22
298,7.2968509921e-22
299,7.2937717916e-22
300,7.2899320042e-22
301,7.2800809825e-22
302,7.2794574444e-22
303,7.2650119140e-22
307,7.2558265261e-22
309,7.2452604117e-22
310,7.2356883794e-22
311,7.2328005900e-22
312,7.2321951429e-22
313,7.2257559123e-22
315,7.2158937986e-22
317,7.2093779457e-22
319,7.2011801487e-22
320,7.1922844495e-22
321,7.1893050667e-22
324,7.1795794143e-22
325,7.1740259076e-22
326,7.1895457882e-22
327,7.1619703142e-22
330,7.1444668760e-22
333,7.1327633135e-22
335,7.1167331749e-22
336,7.1161744141e-22
337,7.1103058123e-22
339,7.1051817265e-22
340,7.1027315419e-22
341,7.1021573266e-22
342,7.0923520461e-22
343,7.0917734280e-22
345,7.0799625740e-22
348,7.0615229351e-22
349,7.0610815799e-22
351,7.0559686048e-22
355,7.0309859911e-22
357,7.0289108272e-22
359,7.0136402953e-22
362,7.0058298852e-22
363,7.0015649964e-22
364,6.9961682583e-22
366,6.9843183492e-22
