Timestep,Salt:MSFL,Gas:gas_ideal,Solid:bccsoln,Solid:cphsoln
0,0.6493140020458581,0.0,0.0,0.0
1,0.6493107676217548,7.717666402559169e-06,3.891615315702839e-07,1.9454660251547178e-08
2,0.6493058850281377,1.5739490483880846e-05,5.757504108366664e-07,1.780179254564543e-08
3,0.6493006016643221,2.4143543198457554e-05,7.410899637576847e-07,1.6461714606006493e-08
4,0.6492955776011067,3.261733955869028e-05,8.989704266720564e-07,1.6894621882270836e-08
5,0.6492906701524475,4.122502781370098e-05,1.0562702780121102e-06,1.6207799244547396e-08
6,0.6492859583277204,4.98885392437283e-05,1.2140431617267008e-06,1.5559031603566754e-08
7,0.6492813819057265,5.861486095114276e-05,1.3724954598133832e-06,1.4929930924318903e-08
8,0.6492770119169804,6.741729675644416e-05,1.5317327632323575e-06,1.431088706189769e-08
9,0.6492726967532836,7.629719077543175e-05,1.6916090050882138e-06,1.3691379426811577e-08
10,0.6492685168608491,8.515315404616045e-05,1.8514880786099814e-06,1.304769543826421e-08
11,0.6492644385334998,9.409870086263038e-05,2.0118133802508134e-06,1.2386516705957572e-08
12,0.649260509535754,0.0001029918266293325,2.178666252266004e-06,4.7617294233468035e-09
13,0.6492566987531837,0.00011190574536987978,2.3391684026294437e-06,3.1669544020122974e-09
14,0.6492529587245448,0.0001207693987255354,2.497720782633699e-06,1.5114558135703762e-09
15,0.6492493120787539,0.0001297919807973232,2.6597831358483753e-06,0.0
16,0.649245906399469,0.00013849430710281875,2.812953815287692e-06,0.0
18,0.6492391728195815,0.00015636863099138834,3.1296233285724227e-06,0.0
19,0.6492359569013773,0.00016523913962408548,3.286078410446968e-06,0.0
20,0.6492328896657463,0.00017398821027557929,3.4400043415568374e-06,0.0
21,0.6492301468763211,0.00018264274314580447,3.5939836878950746e-06,0.0
22,0.6492270918996406,0.00019162110507590783,3.753012182112136e-06,0.0
24,0.6492216836242023,0.0002090410638591074,4.061371082985957e-06,0.0
25,0.6492192602093836,0.00021750009381151214,4.2110707214893184e-06,0.0
26,0.6492165927969824,0.00022628353930274653,4.36630599342683e-06,0.0
27,0.6492143445892999,0.00023470251110794968,4.5154955214750054e-06,0.0
28,0.649212043734938,0.0002433167300285957,4.668137292814256e-06,0.0
29,0.6492097278970281,0.0002519812285521065,4.821429909081561e-06,0.0
30,0.6492076244555061,0.00026042801465167044,4.970834427367813e-06,0.0
31,0.6492056454595097,0.0002690107391738819,5.122168396068509e-06,0.0
32,0.6492036181181793,0.0002774872840366564,5.272292196552612e-06,0.0
33,0.6492013132614449,0.00028595549719381846,5.421654462973635e-06,0.0
34,0.6491993429743668,0.0002942866777283978,5.5681301705089415e-06,0.0
35,0.6491975909294795,0.00030269979275243317,5.717312830273431e-06,0.0
36,0.6491957222293613,0.0003111539160808101,5.8664813352267814e-06,0.0
37,0.6491939375900653,0.00031945890897128334,6.013640382549542e-06,0.0
38,0.6491919203902321,0.0003279173698776634,6.162597945500515e-06,0.0
39,0.6491902313356559,0.00033613087715231337,6.307096427202185e-06,0.0
40,0.649188824891096,0.0003440062093434533,6.445998530791999e-06,0.0
41,0.6491869108627747,0.00035249260904708754,6.596187776763433e-06,0.0
42,0.6491853598740925,0.00036053848418635115,6.738719861637939e-06,0.0
43,0.6491837165421159,0.0003689640605833667,6.887817705426642e-06,0.0
44,0.649182145920082,0.0003769995962594886,7.028777168263326e-06,0.0
45,0.6491805268650845,0.00038531231642166216,7.175477957131696e-06,0.0
46,0.6491791036185585,0.0003932916797920431,7.315972175918329e-06,0.0
47,0.6491776588324663,0.00040120881830292386,7.454475068287196e-06,0.0
49,0.6491747321342398,0.0004174483485346373,7.741099586059135e-06,0.0
50,0.6491734349886745,0.00042551330406222416,7.883630754872241e-06,0.0
51,0.6491721847229103,0.0004333061767738334,8.021264698062687e-06,0.0
52,0.6491706425699539,0.0004417634881142118,8.171207299790056e-06,0.0
53,0.6491694371612242,0.0004495452459215163,8.307318001677022e-06,0.0
54,0.64916820725592,0.00045722349763912905,8.442267803751705e-06,0.0
55,0.6491669755154457,0.0004653130576684715,8.585052257884751e-06,0.0
57,0.6491645198463812,0.0004809368890078153,8.859761853874721e-06,0.0
58,0.6491634426234486,0.0004884860751767483,8.992679125137199e-06,0.0
59,0.6491622202989336,0.000496459689538162,9.132655279469661e-06,0.0
60,0.649161169036069,0.0005036202370482554,9.258294362816711e-06,0.0
61,0.6491599704505691,0.0005119454483603233,9.405583179953441e-06,0.0
63,0.6491578216834826,0.0005273782821961051,9.677423199850715e-06,0.0
64,0.6491567496779008,0.000534761925216164,9.807083527927574e-06,0.0
65,0.6491556334513712,0.0005427868951855756,9.948663500026418e-06,0.0
66,0.6491546360763392,0.0005503417096945229,1.008148092006577e-05,0.0
67,0.6491536336184763,0.0005579255884747881,1.0215228467630104e-05,0.0
68,0.6491527867673592,0.0005651868264175782,1.034285750127996e-05,0.0
69,0.6491518007669426,0.0005725596977087202,1.0472138589171725e-05,0.0
70,0.649150722304419,0.0005805489528500233,1.0613385865271953e-05,0.0
71,0.6491498709541723,0.0005876798803736523,1.0738573129673453e-05,0.0
73,0.6491480427031614,0.0006025883021349588,1.1000728220415223e-05,0.0
74,0.64914711291061,0.000610379763581357,1.1138046701420052e-05,0.0
75,0.649146660788377,0.0006168077718365965,1.1251165259838806e-05,0.0
76,0.6491456441561431,0.0006248758290996279,1.139393821018264e-05,0.0
77,0.649144706103573,0.0006325976892615809,1.153017223763313e-05,0.0
78,0.6491442796920505,0.0006390909042346843,1.1644381805729423e-05,0.0
79,0.6491433147837479,0.0006468577292673209,1.1781480731016702e-05,0.0
81,0.649142048636965,0.0006609487339568,1.2029895076701062e-05,0.0
82,0.6491412044377083,0.0006685275360539725,1.2163305722164109e-05,0.0
83,0.6491407883092288,0.0006751913807485609,1.228124696520901e-05,0.0
85,0.6491394473684355,0.0006897598913367553,1.2538655617247202e-05,0.0
