Timestep,Phase Type,Phase Name,Component,Mole Percentage
1,gas,gas_ideal,Es,5.898039568518785e-168
1,gas,gas_ideal,EsF3,2.339844842469301e-28
1,gas,gas_ideal,Eu,2.2208290169583054e-157
1,gas,gas_ideal,EuF3,8.810377178668311e-18
1,gas,gas_ideal,F,1.8193951866171534
1,gas,gas_ideal,F2,31.51093919367891
1,gas,gas_ideal,Gd,1.5760985254275387e-163
1,gas,gas_ideal,Gd2,8.854837290236627e-200
1,gas,gas_ideal,GdF3,1.1879592900136935e-18
1,gas,gas_ideal,He,22.834248970665172
1,gas,gas_ideal,Hf,2.1572792437518793e-172
1,gas,gas_ideal,HfF,9.153490489589045e-146
1,gas,gas_ideal,HfF2,1.912595667063836e-76
1,gas,gas_ideal,HfF3,6.2506992984788336e-49
1,gas,gas_ideal,HfF4,1.0123868619604906e-20
1,gas,gas_ideal,Ho,1.3272329059266255e-74
1,gas,gas_ideal,Ho2,9.33113030161647e-161
1,gas,gas_ideal,Ho2F4,2.909744655552162e-20
1,gas,gas_ideal,HoF,5.409592259941741e-48
1,gas,gas_ideal,HoF2,5.222062926072411e-16
1,gas,gas_ideal,In,2.8261550201489e-73
1,gas,gas_ideal,In2,1.9869324086088327e-159
1,gas,gas_ideal,In2F4,6.195890283400489e-19
1,gas,gas_ideal,InF,1.1518962688556323e-46
1,gas,gas_ideal,InF2,1.1119645457968248e-14
1,gas,gas_ideal,La,5.961853808484981e-172
1,gas,gas_ideal,La2,5.784278493517518e-197
1,gas,gas_ideal,LaF3,7.395254338116605e-17
1,gas,gas_ideal,Li,1.5311362295864675e-33
1,gas,gas_ideal,Li2,1.0671387683905083e-66
1,gas,gas_ideal,Li2BeF4,9.174719455833329e-07
1,gas,gas_ideal,Li2BkF4,1.6625150761260115e-24
1,gas,gas_ideal,Li2CfF4,5.968796409406199e-24
1,gas,gas_ideal,Li2DyF4,5.768895721219208e-17
1,gas,gas_ideal,Li2ErF4,1.0681725833753558e-18
1,gas,gas_ideal,Li2F2,1.2093449176735774e-07
1,gas,gas_ideal,Li2HfF6,5.813937752419544e-24
1,gas,gas_ideal,Li2HoF4,1.9930645617679316e-18
1,gas,gas_ideal,Li2InF4,4.2439494918857173e-17
1,gas,gas_ideal,Li2MnF4,8.882354568623045e-25
1,gas,gas_ideal,Li2PmF4,5.92879428712032e-13
1,gas,gas_ideal,Li2PrF4,2.6963005201455076e-12
1,gas,gas_ideal,Li2VF4,3.93495922109457e-29
1,gas,gas_ideal,Li2ZrF6,2.100262982342599e-11
1,gas,gas_ideal,Li3F3,1.7271559762605288e-09
1,gas,gas_ideal,LiBeF3,3.456177730619386e-05
1,gas,gas_ideal,LiBkF3,6.262804667310469e-23
1,gas,gas_ideal,LiCfF3,2.248485234681972e-22
1,gas,gas_ideal,LiDyF3,2.173181318287221e-15
1,gas,gas_ideal,LiErF3,4.023877038303143e-17
1,gas,gas_ideal,LiF,8.146167976031499e-07
1,gas,gas_ideal,LiHf2F9,1.925133473098318e-29
1,gas,gas_ideal,LiHoF3,7.508006525136137e-17
1,gas,gas_ideal,LiInF3,1.5987239494721546e-15
1,gas,gas_ideal,LiMnF3,3.3460419365762476e-23
1,gas,gas_ideal,LiNpF5,2.0971692167981254e-12
1,gas,gas_ideal,LiPmF3,2.2334161696399813e-11
1,gas,gas_ideal,LiPrF3,1.0157143068673752e-10
1,gas,gas_ideal,LiUF5,1.7800490733623287e-08
1,gas,gas_ideal,LiVF3,1.4823252630570156e-27
1,gas,gas_ideal,LiZr2F9,6.954471722602076e-17
1,gas,gas_ideal,Lu,3.443230526769657e-173
1,gas,gas_ideal,Lu2,1.9344758957280565e-209
1,gas,gas_ideal,LuF3,2.5952804510271175e-28
1,gas,gas_ideal,Mg,1.138284176901542e-79
1,gas,gas_ideal,Mg2,1.0449749573817352e-170
1,gas,gas_ideal,MgF,7.26029285730356e-55
