Timestep,Salt:MSFL,Gas:gas_ideal,Solid:bccsoln,Solid:cphsoln
1,0.6493107676217548,7.717666402559169e-06,3.891615315702839e-07,1.9454660251547178e-08
2,0.6493059035784208,1.5633336874219883e-05,5.702601748847875e-07,1.7512497013042747e-08
3,0.6493006759146626,2.391218951843718e-05,7.328036277288941e-07,1.618897024978659e-08
4,0.6492956947677624,3.227689618666451e-05,8.883313022308454e-07,1.6609461672363406e-08
5,0.6492908295751275,4.076901892852095e-05,1.0433375864721199e-06,1.592724602759396e-08
6,0.6492861577060791,4.931705697947388e-05,1.198829168384862e-06,1.5278856013733022e-08
7,0.649281680771465,5.7917561871956806e-05,1.3550301859290254e-06,1.465280379792627e-08
8,0.6492772917371382,6.660926361229533e-05,1.5119491907143256e-06,1.4033274420748293e-08
10,0.6492688454429552,8.416760295166595e-05,1.8277341634502734e-06,1.2803814519550398e-08
12,0.6492610986931353,0.00010126736338830818,2.1309082807356983e-06,1.134572778671175e-08
13,0.6492580832050573,0.00010864345695928657,2.257894228546131e-06,1.0322334816957799e-08
16,0.6492487534716405,0.0001322215669506965,2.681553643839467e-06,0.0
17,0.6492464971010028,0.0001386341984741386,2.7886349420859474e-06,0.0
18,0.6492438960176596,0.0001457767536202307,2.910917857524727e-06,0.0
19,0.6492414078070522,0.00015277258032434218,3.029942665737659e-06,0.0
20,0.6492391027192974,0.00015945885412604072,3.143193457093269e-06,0.0
22,0.6492344127869027,0.00017338316067816458,3.3822454506499897e-06,0.0
24,0.6492305449851122,0.00018560409661540783,3.5874320996254074e-06,0.0
25,0.6492286996890811,0.0001916175080087508,3.688376226520484e-06,0.0
26,0.6492269030766804,0.0001975452646745833,3.787819235816564e-06,0.0
27,0.6492249199962662,0.00020398362215742364,3.897853141486095e-06,0.0
28,0.6492232526962483,0.0002096584989145404,3.992299769403731e-06,0.0
29,0.6492220902294301,0.00021470525416185734,4.076951652147554e-06,0.0
30,0.6492202278181416,0.00022106258215261337,4.186005480998263e-06,0.0
33,0.6492166889785083,0.00023642210991726842,4.445261807426273e-06,0.0
35,0.6492136570145808,0.00024803271693672746,4.643462721792008e-06,0.0
36,0.6492129021449566,0.00025216495100732934,4.710618176783853e-06,0.0
37,0.6492119666875665,0.0002566764818453657,4.785840027200153e-06,0.0
38,0.6492110606607279,0.00026120907566046876,4.861464491558017e-06,0.0
39,0.6492104231186179,0.0002650442324550737,4.924503373962277e-06,0.0
40,0.6492093337352196,0.00027003056059495825,5.009458019567001e-06,0.0
42,0.6492071654089454,0.0002803458354134823,5.186471449057595e-06,0.0
44,0.6492059109917843,0.00028790159362524257,5.310985904544022e-06,0.0
45,0.6492052096277714,0.00029179221017320526,5.375842760881898e-06,0.0
46,0.6492042762994439,0.0002968788947342164,5.4632822244115875e-06,0.0
47,0.6492036920683082,0.000299513448056422,5.5053979890587604e-06,0.0
48,0.6492027165481817,0.00030455222723244345,5.591657779133053e-06,0.0
49,0.6492020016701654,0.0003077038347719971,5.6442745256997815e-06,0.0
50,0.6492012081290428,0.00031215668383501006,5.720285188615696e-06,0.0
51,0.6491996229237808,0.000318186440026923,5.824894526215441e-06,0.0
53,0.6491985965933182,0.00032426658123768486,5.924485376396311e-06,0.0
55,0.6491970270282014,0.00033288842942025157,6.071450431426411e-06,0.0
56,0.6491966980936064,0.0003354652556717673,6.113477525268689e-06,0.0
57,0.6491965399743516,0.00033748982893247307,6.146367687173047e-06,0.0
