Timestep,S:MSFL,S:MSFL#3
1,0.6493107676217548,0.0
2,0.6493059809006152,0.0
3,0.6493008843356082,0.0
4,0.649296020777504,0.0
5,0.6492912591718775,0.0
6,0.6492866753221745,0.0
7,0.6492822207412489,0.0
8,0.649277959937767,0.0
9,0.6492737592255309,0.0
11,0.6492662294711651,0.0
13,0.6492608009429581,0.0
14,0.6492582966763194,0.0
15,0.64925622308981,0.0
17,0.6492515220790154,0.0
20,0.6492473797119065,0.0
21,0.6492451185490469,0.0
22,0.6492439525891153,0.0
23,0.6492433797732955,0.0
24,0.6492418547696741,0.0
25,0.6492406154930913,0.0
26,0.6492396680483534,0.0
27,0.6492386026830359,0.0
28,0.649237692912129,0.0
29,0.6492366823562503,0.0
30,0.6492350106552189,0.0
31,0.6492353320832591,0.0
32,0.6492350938415428,0.0
33,0.6492343271699879,0.0
34,0.6492334469946256,0.0
35,0.6492326741141,0.0
36,0.6492316166702639,0.0
37,0.6492307657547809,0.0
38,0.6492312255896818,0.0
39,0.6492298231766082,0.0
41,0.6492294073401813,0.0
42,0.649227812906888,0.0
43,0.6492283103866188,0.0
44,0.6492272449784173,0.0
45,0.6492265375227837,0.0
46,0.6492277021563093,0.0
47,0.6492280544438913,0.0
48,0.6492291018450473,0.0
49,0.6492284202418531,0.0
50,0.6492266740303488,0.0
51,0.6492273150992369,0.0
52,0.6492251890980224,0.0
53,0.649225829798639,0.0
54,0.6492246352527474,0.0
55,0.6492252483862002,0.0
56,0.6492252860444949,0.0
58,0.6492235375727573,0.0
59,0.6492236075374216,0.0
61,0.6492218724844191,0.0
62,0.6492218811470204,0.0
64,0.6492213109151758,0.0
65,0.6492213061649525,0.0
66,0.6492212125310565,0.0
67,0.6492198485300167,0.0
68,0.6492204779442075,0.0
69,0.6492203562380655,0.0
70,0.6492207452442424,0.0
71,0.6492203102100418,0.0
72,0.6492194192169876,0.0
73,0.6492187895269086,0.0
74,0.649219326399138,0.0
75,0.6492180121234762,0.0
76,0.6492185034060138,0.0
77,0.6492185510357007,0.0
78,0.6492182724990059,0.0
79,0.6492179323288142,0.0
80,0.6492184481755228,0.0
81,0.649218517301276,0.0
82,0.6492171158129265,0.0
84,0.6492195987665664,0.0
88,0.649220761731469,0.0
90,0.6492189055278703,0.0
92,0.6492175101800456,0.0
93,0.6492179587544094,0.0
94,0.649217091090055,0.0
95,0.6492169872294568,0.0
96,0.6492161737210232,0.0
99,0.6492167567107312,0.0
100,0.6492150275429258,0.0
101,0.6492162516701798,0.0
102,0.6492152155468243,0.0
103,0.6492154979558638,0.0
104,0.6492167786988855,0.0
106,0.6492160283864912,0.0
107,0.6492146788388248,0.0
108,0.6492136443742136,0.0
109,0.6492146388913557,0.0
110,0.6492158015271267,0.0
111,0.649214907291252,0.0
112,0.6492151689439368,0.0
116,0.649215164582505,0.0
118,0.649214464746781,0.0
119,0.6492150927339542,0.0
120,0.6492158226650669,0.0
122,0.6492173104934109,0.0
124,0.6492167008164672,0.0
130,0.6492168154088725,0.0
132,0.6492156487554196,0.0
134,0.6492165075480408,0.0
136,0.6492137003155,0.0
138,0.6492154650434562,0.0
144,0.6492140390250385,0.0
146,0.6492139062786123,0.0
