Timestep,Phase Name,Cation,Mole Fraction,Mole Percentage
0,MSFL,Be[CN=IV,0.052561968071508924,5.256196807150893
0,MSFL,Be[Dimer,0.15872051351825556,15.872051351825556
0,MSFL,Li[1+],0.7399944593596388,73.99944593596388
0,MSFL,U[3+],1.4256194380903736e-07,1.4256194380903736e-05
0,MSFL,U[CN=VII,0.0053451258943535635,0.5345125894353564
0,MSFL,U[CN=VI],0.03367995927799049,3.3679959277990488
0,MSFL,U[Dimer],0.009697831316308683,0.9697831316308683
1,MSFL,Ba[2+],1.2742372842182666e-06,0.00012742372842182664
1,MSFL,Be[CN=IV,0.05256609615888616,5.256609615888616
1,MSFL,Be[Dimer,0.15871970232110608,15.871970232110607
1,MSFL,Ce[3+],4.625676561668539e-06,0.0004625676561668539
1,MSFL,Cs[1+],2.2239753030087584e-07,2.2239753030087584e-05
1,MSFL,La[3+],2.4403118154761417e-06,0.00024403118154761418
1,MSFL,Li[1+],0.7399945307241401,73.99945307241401
1,MSFL,Nd[3+],3.256015493857094e-06,0.0003256015493857094
1,MSFL,Pu[3+],2.351375201674704e-12,2.351375201674704e-10
1,MSFL,Rb[1+],8.471507147079113e-09,8.471507147079113e-07
1,MSFL,Sr[2+],1.2425729637916176e-06,0.00012425729637916176
1,MSFL,U[3+],3.845495530358173e-23,3.845495530358173e-21
1,MSFL,U[CN=VII,0.0053434748476776945,0.5343474847677695
1,MSFL,U[CN=VI],0.033667133627310254,3.3667133627310255
1,MSFL,U[Dimer],0.009688143037424208,0.9688143037424207
1,MSFL,Zr[CN=VI,4.3629635244597e-06,0.00043629635244597
1,MSFL,Zr[Dimer,9.468815400054741e-12,9.46881540005474e-10
2,MSFL,Ba[2+],2.1501000635294717e-06,0.00021501000635294716
2,MSFL,Be[CN=IV,0.05257233769178893,5.257233769178892
2,MSFL,Be[Dimer,0.15871839267774865,15.871839267774865
2,MSFL,Ce[3+],8.76791924413099e-06,0.000876791924413099
2,MSFL,Cs[1+],2.2568198294023324e-07,2.2568198294023323e-05
2,MSFL,La[3+],4.441210172066315e-06,0.00044412101720663153
2,MSFL,Li[1+],0.7399976927008791,73.99976927008791
2,MSFL,Nd[3+],6.1161344166153645e-06,0.0006116134416615364
2,MSFL,Pu[3+],4.1899398760892245e-12,4.1899398760892247e-10
2,MSFL,Rb[1+],1.5473037219241198e-08,1.5473037219241198e-06
2,MSFL,Sr[2+],2.2571112315622805e-06,0.00022571112315622805
2,MSFL,U[3+],4.343531864465436e-23,4.343531864465436e-21
2,MSFL,U[CN=VII,0.005341603444446467,0.5341603444446467
2,MSFL,U[CN=VI],0.03365398497094444,3.365398497094444
2,MSFL,U[Dimer],0.009676959987786086,0.9676959987786086
2,MSFL,Zr[CN=VI,8.36838090448495e-06,0.0008368380904484951
2,MSFL,Zr[Dimer,3.4818406835611295e-11,3.4818406835611293e-09
3,MSFL,Ba[2+],2.8425252777438592e-06,0.0002842525277743859
3,MSFL,Be[CN=IV,0.0525788940080251,5.25788940080251
3,MSFL,Be[Dimer,0.15871709682363497,15.871709682363496
3,MSFL,Ce[3+],1.3139919154376667e-05,0.0013139919154376667
3,MSFL,Cs[1+],2.2970559832457742e-07,2.297055983245774e-05
3,MSFL,La[3+],6.418623493185276e-06,0.0006418623493185277
3,MSFL,Li[1+],0.7400010712890488,74.00010712890489
3,MSFL,Nd[3+],9.299891224238379e-06,0.0009299891224238379
3,MSFL,Pu[3+],5.063734333473693e-12,5.063734333473693e-10
3,MSFL,Rb[1+],2.2727647501793035e-08,2.2727647501793036e-06
3,MSFL,Sr[2+],3.2806064747693807e-06,0.0003280606474769381
3,MSFL,U[3+],4.529916330243643e-23,4.529916330243643e-21
3,MSFL,U[CN=VII,0.005339661032129985,0.5339661032129985
3,MSFL,U[CN=VI],0.033640275123858775,3.3640275123858774
3,MSFL,U[Dimer],0.009665295294869225,0.9665295294869225
3,MSFL,Zr[CN=VI,1.2492370732743082e-05,0.0012492370732743081
3,MSFL,Zr[Dimer,7.755313431079955e-11,7.755313431079955e-09
4,MSFL,Ba[2+],3.375075598861621e-06,0.0003375075598861621
4,MSFL,Be[CN=IV,0.052585408765109,5.258540876510899
4,MSFL,Be[Dimer,0.15871571310844415,15.871571310844415
4,MSFL,Ce[3+],1.7520107165714926e-05,0.0017520107165714927
4,MSFL,Cs[1+],2.3347675696689204e-07,2.3347675696689202e-05
4,MSFL,La[3+],8.296132967571823e-06,0.0008296132967571823
4,MSFL,Li[1+],0.7400043790684117,74.00043790684117
4,MSFL,Nd[3+],1.2633692333995022e-05,0.0012633692333995023
4,MSFL,Pu[3+],5.150864435292011e-12,5.150864435292011e-10
4,MSFL,Rb[1+],2.993339183888026e-08,2.9933391838880257e-06
4,MSFL,Sr[2+],4.2708573973158675e-06,0.00042708573973158676
4,MSFL,U[3+],4.530033972975374e-23,4.530033972975374e-21
4,MSFL,U[CN=VII,0.0053377393012932275,0.5337739301293227
4,MSFL,U[CN=VI],0.03362677778281489,3.362677778281489
4,MSFL,U[Dimer],0.009653830242703701,0.9653830242703701
4,MSFL,Zr[CN=VI,1.6562722415874055e-05,0.0016562722415874055
4,MSFL,Zr[Dimer,1.3625834513791008e-10,1.3625834513791008e-08
5,MSFL,Ba[2+],3.7987307348416683e-06,0.00037987307348416686
5,MSFL,Be[CN=IV,0.052591800522752544,5.259180052275254
5,MSFL,Be[Dimer,0.15871433544863905,15.871433544863905
5,MSFL,Ce[3+],2.1870288468203255e-05,0.0021870288468203254
5,MSFL,Cs[1+],2.367771275395695e-07,2.367771275395695e-05
5,MSFL,La[3+],1.0087525893419985e-05,0.0010087525893419985
5,MSFL,Li[1+],0.7400075896959007,74.00075896959008
5,MSFL,Nd[3+],1.607604793925413e-05,0.001607604793925413
5,MSFL,Pu[3+],4.884239090828379e-12,4.88423909082838e-10
5,MSFL,Rb[1+],3.709080068192249e-08,3.709080068192249e-06
5,MSFL,Sr[2+],5.230703555865602e-06,0.0005230703555865601
5,MSFL,U[3+],4.451740975654438e-23,4.4517409756544376e-21
