Timestep,Cr2+/Cr3+ Ratio
7,2.5929458921e-18
8,2.5358647781e-18
10,2.4333061385e-18
11,2.3879431192e-18
12,2.3466496023e-18
13,2.3089836185e-18
15,2.2426232795e-18
17,2.1858347132e-18
19,2.1381266245e-18
20,2.1171308903e-18
23,2.0611181455e-18
24,2.0444847538e-18
25,2.0290484983e-18
26,2.0147521313e-18
27,2.0009871647e-18
28,1.9881104842e-18
30,1.9641331080e-18
31,1.9529830599e-18
32,1.9422706167e-18
33,1.9323218081e-18
34,1.9227107248e-18
35,1.9135482115e-18
37,1.8966312510e-18
38,1.8885493652e-18
39,1.8807702026e-18
40,1.8733065278e-18
42,1.8592849918e-18
45,1.8402112057e-18
47,1.8286587452e-18
48,1.8231402493e-18
49,1.8178185725e-18
50,1.8128244811e-18
51,1.8078085012e-18
52,1.8030578589e-18
53,1.7983529918e-18
54,1.7937150324e-18
55,1.7894499903e-18
56,1.7851972087e-18
57,1.7810925052e-18
58,1.7771207134e-18
60,1.7693942464e-18
61,1.7657186168e-18
62,1.7621195468e-18
64,1.7550926775e-18
65,1.7518444482e-18
66,1.7485542438e-18
67,1.7453046160e-18
68,1.7422128664e-18
70,1.7360946149e-18
71,1.7332805678e-18
72,1.7304703400e-18
73,1.7276371422e-18
74,1.7249538236e-18
75,1.7223173569e-18
76,1.7196626507e-18
77,1.7170821095e-18
78,1.7146039873e-18
79,1.7121909105e-18
80,1.7097988535e-18
81,1.7074681087e-18
82,1.7050818078e-18
83,1.7028110581e-18
84,1.7005928487e-18
85,1.6984093953e-18
86,1.6962893349e-18
87,1.6941034092e-18
89,1.6901435780e-18
93,1.6824352878e-18
94,1.6805518734e-18
96,1.6770400596e-18
97,1.6752986889e-18
98,1.6735958167e-18
99,1.6719341742e-18
101,1.6686598739e-18
103,1.6654892430e-18
105,1.6624650732e-18
106,1.6609869658e-18
107,1.6595658668e-18
108,1.6580995061e-18
109,1.6566426846e-18
110,1.6552576789e-18
111,1.6538970796e-18
113,1.6511804939e-18
114,1.6498168548e-18
115,1.6485577067e-18
116,1.6472919827e-18
117,1.6460233535e-18
118,1.6447273881e-18
119,1.6435482679e-18
121,1.6411094767e-18
122,1.6399143705e-18
123,1.6387414304e-18
124,1.6375871342e-18
126,1.6352643830e-18
128,1.6331130672e-18
130,1.6310571370e-18
132,1.6290024750e-18
134,1.6269671176e-18
136,1.6249968177e-18
138,1.6230691374e-18
140,1.6212591105e-18
141,1.6203063478e-18
142,1.6194703978e-18
144,1.6176452496e-18
148,1.6143047117e-18
150,1.6125884138e-18
152,1.6110901317e-18
156,1.6080195575e-18
