Timestep,Phase Type,Phase Name,Species,Mole Percentage
1,solution,bccsoln,Mo,98.72508345852266
1,solution,bccsoln,Ru,0.9195302846666099
1,solution,bccsoln,Tc,0.3553862568107416
1,solution,cphsoln,Mo,30.083833838972563
1,solution,cphsoln,Ru,69.8249413611071
1,solution,cphsoln,Tc,0.09122479992033752
1,solution,gas_ideal,Ba,1.6582349839391522e-69
1,solution,gas_ideal,Ba2,3.957703094329774e-164
1,solution,gas_ideal,BaF,1.1089683447637481e-41
1,solution,gas_ideal,BaF2,2.481266927206236e-16
1,solution,gas_ideal,Be,6.109703345522267e-63
1,solution,gas_ideal,Be2,4.295435847522763e-149
1,solution,gas_ideal,Be2F4,1.3394541814973201e-08
1,solution,gas_ideal,BeF,2.4902188440997407e-36
1,solution,gas_ideal,BeF2,0.00024038927295640946
1,solution,gas_ideal,Ce,2.3063024592654224e-160
1,solution,gas_ideal,Ce2,1.2957269288306814e-196
1,solution,gas_ideal,CeF3,1.7383389349486124e-15
1,solution,gas_ideal,Cs,2.155243416630667e-36
1,solution,gas_ideal,Cs2,4.1300300096162926e-104
1,solution,gas_ideal,Cs2Be2F6,4.9973308315622195e-20
1,solution,gas_ideal,Cs2F2,4.279523291770253e-24
1,solution,gas_ideal,Cs2ZrF6,2.3930899037459743e-25
1,solution,gas_ideal,CsBeF3,5.241672932774199e-10
1,solution,gas_ideal,CsF,9.89911231921109e-13
1,solution,gas_ideal,CsUF5,2.5165725938749795e-12
1,solution,gas_ideal,CsZr2F9,7.657342645120012e-20
1,solution,gas_ideal,CsZrF5,1.2961491442679974e-14
1,solution,gas_ideal,F,1.8193951866171534
1,solution,gas_ideal,F2,31.51093919367891
1,solution,gas_ideal,He,22.834248970665172
1,solution,gas_ideal,La,1.335505289737196e-171
1,solution,gas_ideal,La2,1.2957269288306814e-196
1,solution,gas_ideal,LaF3,1.6565990386162205e-16
1,solution,gas_ideal,Li,1.5311362295864675e-33
1,solution,gas_ideal,Li2,1.0671387683905083e-66
1,solution,gas_ideal,Li2BeF4,9.174752348664715e-07
1,solution,gas_ideal,Li2F2,1.2093449176735774e-07
1,solution,gas_ideal,Li2ZrF6,2.1002629823431802e-11
1,solution,gas_ideal,Li3F3,1.7271559762605288e-09
1,solution,gas_ideal,LiBeF3,3.456190121567347e-05
1,solution,gas_ideal,LiF,8.146167976031499e-07
1,solution,gas_ideal,LiUF5,1.780258790284008e-08
1,solution,gas_ideal,LiZr2F9,6.954471722604001e-17
1,solution,gas_ideal,Nd,1.933205171347093e-155
1,solution,gas_ideal,NdF3,7.66932825231532e-16
1,solution,gas_ideal,Ne,2.4165057038967674
1,solution,gas_ideal,Pu,3.343887379708749e-141
1,solution,gas_ideal,PuF,2.4593639049150733e-102
1,solution,gas_ideal,PuF2,1.0675258379575133e-50
1,solution,gas_ideal,PuF3,5.968020476196359e-22
1,solution,gas_ideal,PuF4,1.2367806947579306e-132
1,solution,gas_ideal,PuF6,41.418633601321154
1,solution,gas_ideal,Rb,2.5978067826868343e-33
1,solution,gas_ideal,Rb2,9.20770268903976e-69
1,solution,gas_ideal,Rb2F2,1.1488420366741435e-19
1,solution,gas_ideal,RbF,1.9265245987649654e-11
1,solution,gas_ideal,Sr,1.3162730064389098e-67
1,solution,gas_ideal,Sr2,1.208373406850232e-158
1,solution,gas_ideal,SrF,8.39555508267116e-43
1,solution,gas_ideal,SrF2,3.256840864928882e-18
1,solution,gas_ideal,U,2.04633128934299e-157
1,solution,gas_ideal,UF3,5.438860862075595e-34
1,solution,gas_ideal,UF4,4.695558089808813e-07
1,solution,gas_ideal,Zr,7.793089522404656e-160
1,solution,gas_ideal,ZrF,3.306663754099123e-133
1,solution,gas_ideal,ZrF2,6.909179373398744e-64
1,solution,gas_ideal,ZrF3,2.2580414358392724e-36
1,solution,gas_ideal,ZrF4,3.6572091765195037e-08
3,solution,bccsoln,Mo,98.88763307204815
3,solution,bccsoln,Ru,0.9147804722905326
3,solution,bccsoln,Tc,0.19758645566132169
3,solution,cphsoln,Mo,30.110563372117433
3,solution,cphsoln,Ru,69.83838212581426
3,solution,cphsoln,Tc,0.05105450206829839
3,solution,gas_ideal,Ba,5.121765760745936e-69
3,solution,gas_ideal,Ba2,3.621041346952665e-161
3,solution,gas_ideal,BaF,2.9065242531155647e-41
3,solution,gas_ideal,BaF2,5.5183526559319685e-16
3,solution,gas_ideal,Be,8.481533348652947e-63
3,solution,gas_ideal,Be2,1.6285098061098208e-147
3,solution,gas_ideal,Be2F4,1.3383232192411089e-08
3,solution,gas_ideal,BeF,2.933411079364875e-36
3,solution,gas_ideal,BeF2,0.00024028776569768234
3,solution,gas_ideal,Ce,8.969630392710985e-146
3,solution,gas_ideal,Ce2,4.148745327904823e-197
3,solution,gas_ideal,CeF3,4.9224881220067544e-15
3,solution,gas_ideal,Cs,2.6157392237616172e-36
3,solution,gas_ideal,Cs2,1.4969061537143457e-105
3,solution,gas_ideal,Cs2Be2F6,5.2957785003002145e-20
3,solution,gas_ideal,Cs2F2,4.538934907730114e-24
3,solution,gas_ideal,Cs2ZrF6,7.244760122540942e-25
3,solution,gas_ideal,CsBeF3,5.395923376006304e-10
3,solution,gas_ideal,CsF,1.0194725393041213e-12
3,solution,gas_ideal,CsUF5,2.588097856389067e-12
3,solution,gas_ideal,CsZr2F9,6.424957102006847e-19
3,solution,gas_ideal,CsZrF5,3.8101378896163256e-14
3,solution,gas_ideal,F,1.5438610260609094
3,solution,gas_ideal,F2,22.689434533166285
3,solution,gas_ideal,He,21.01963364506472
3,solution,gas_ideal,La,6.986188579778439e-151
3,solution,gas_ideal,La2,4.148745327904823e-197
3,solution,gas_ideal,LaF3,4.3415263390162787e-16
3,solution,gas_ideal,Li,1.804890420420977e-33
3,solution,gas_ideal,Li2,1.482842114292333e-66
3,solution,gas_ideal,Li2BeF4,9.175870266270696e-07
3,solution,gas_ideal,Li2F2,1.2100032111827842e-07
3,solution,gas_ideal,Li2ZrF6,5.99813798845329e-11
3,solution,gas_ideal,Li3F3,1.728566405589149e-09
3,solution,gas_ideal,LiBeF3,3.455670848235344e-05
3,solution,gas_ideal,LiF,8.14838481207211e-07
3,solution,gas_ideal,LiUF5,1.7782518066644985e-08
3,solution,gas_ideal,LiZr2F9,5.66754773059959e-16
3,solution,gas_ideal,Nd,1.0351157546407244e-140
3,solution,gas_ideal,NdF3,2.1826813598020606e-15
3,solution,gas_ideal,Ne,0.7441381856594391
3,solution,gas_ideal,Pu,2.4505500663186628e-138
3,solution,gas_ideal,PuF,4.179173154663526e-101
3,solution,gas_ideal,PuF2,2.684559862165764e-50
3,solution,gas_ideal,PuF3,1.273521156961241e-21
3,solution,gas_ideal,PuF4,4.1064536650040384e-131
3,solution,gas_ideal,PuF6,54.002655305311364
3,solution,gas_ideal,Rb,8.188858323512232e-33
3,solution,gas_ideal,Rb2,9.14957395714376e-68
3,solution,gas_ideal,Rb2F2,8.219694286839599e-19
3,solution,gas_ideal,RbF,5.1531434486240296e-11
3,solution,gas_ideal,Sr,4.8133808456431176e-67
3,solution,gas_ideal,Sr2,1.4459008545369021e-156
3,solution,gas_ideal,SrF,2.6051625602871188e-42
3,solution,gas_ideal,SrF2,8.575572322606899e-18
3,solution,gas_ideal,U,3.8063310813810873e-152
3,solution,gas_ideal,UF3,6.40057125109379e-34
3,solution,gas_ideal,UF4,4.688988502873576e-07
3,solution,gas_ideal,Zr,3.2399897781464023e-147
3,solution,gas_ideal,ZrF,6.72021193256003e-120
3,solution,gas_ideal,ZrF2,2.738864698977926e-63
3,solution,gas_ideal,ZrF3,7.59551420391034e-36
3,solution,gas_ideal,ZrF4,1.0438936033501333e-07
4,solution,bccsoln,Mo,99.01450530517899
4,solution,bccsoln,Pd,0.009171813684633767
4,solution,bccsoln,Ru,0.8090250184993817
4,solution,bccsoln,Tc,0.16729786263699925
4,solution,cphsoln,Mo,25.403622764632207
4,solution,cphsoln,Pd,6.3759943255256735
4,solution,cphsoln,Ru,68.20436812057665
4,solution,cphsoln,Tc,0.016014789265463358
4,solution,gas_ideal,Ba,6.100727741390421e-69
4,solution,gas_ideal,Ba2,7.209575102270061e-162
4,solution,gas_ideal,BaF,3.4557876312855565e-41
4,solution,gas_ideal,BaF2,6.549282273511762e-16
4,solution,gas_ideal,Be,8.510597205200311e-63
4,solution,gas_ideal,Be2,8.394617006381831e-150
4,solution,gas_ideal,Be2F4,1.3377562547255027e-08
4,solution,gas_ideal,BeF,2.9381215157947852e-36
4,solution,gas_ideal,BeF2,0.00024023686280151668
4,solution,gas_ideal,Ce,2.3025180468533553e-146
4,solution,gas_ideal,Ce2,3.0710995503810487e-197
4,solution,gas_ideal,CeF3,6.5591189166086856e-15
4,solution,gas_ideal,Cs,2.663684231134208e-36
4,solution,gas_ideal,Cs2,6.844499199556853e-107
4,solution,gas_ideal,Cs2Be2F6,5.469463212353688e-20
4,solution,gas_ideal,Cs2F2,4.6897843250008134e-24
4,solution,gas_ideal,Cs2ZrF6,9.918405273786617e-25
4,solution,gas_ideal,CsBeF3,5.48369410451074e-10
4,solution,gas_ideal,CsF,1.0362749263020166e-12
4,solution,gas_ideal,CsUF5,2.628903582571854e-12
4,solution,gas_ideal,CsZr2F9,1.1465883831789145e-18
4,solution,gas_ideal,CsZrF5,5.131674183833478e-14
4,solution,gas_ideal,F,1.5410593577565674
4,solution,gas_ideal,F2,22.60715952262228
4,solution,gas_ideal,He,20.608069015569512
4,solution,gas_ideal,La,1.0117181273888477e-152
4,solution,gas_ideal,La2,3.0710995503810487e-197
4,solution,gas_ideal,LaF3,5.606753485593472e-16
4,solution,gas_ideal,Li,1.8084186469106247e-33
4,solution,gas_ideal,Li2,1.4886451440150472e-66
4,solution,gas_ideal,Li2BeF4,9.176432042850726e-07
4,solution,gas_ideal,Li2F2,1.210333690337431e-07
4,solution,gas_ideal,Li2ZrF6,7.949759227393401e-11
4,solution,gas_ideal,Li3F3,1.7292746195870047e-09
4,solution,gas_ideal,LiBeF3,3.4554105726493595e-05
4,solution,gas_ideal,LiF,8.149497490054428e-07
4,solution,gas_ideal,LiUF5,1.7772440357945595e-08
4,solution,gas_ideal,LiZr2F9,9.951586745754657e-16
4,solution,gas_ideal,Nd,7.651957519659142e-142
4,solution,gas_ideal,NdF3,2.962538295184678e-15
4,solution,gas_ideal,Ne,0.544950328306335
4,solution,gas_ideal,Pu,9.437947712090705e-140
4,solution,gas_ideal,PuF,1.9982243224706316e-103
4,solution,gas_ideal,PuF2,2.738978474262145e-50
4,solution,gas_ideal,PuF3,1.2969787302550401e-21
4,solution,gas_ideal,PuF4,6.522314412758703e-134
4,solution,gas_ideal,PuF6,54.69848449068575
4,solution,gas_ideal,Rb,1.0799092746279211e-32
4,solution,gas_ideal,Rb2,1.5911513383396068e-67
4,solution,gas_ideal,Rb2F2,1.4243142483079153e-18
4,solution,gas_ideal,RbF,6.783398154908261e-11
4,solution,gas_ideal,Sr,6.286827425415331e-67
4,solution,gas_ideal,Sr2,3.215321561679981e-160
4,solution,gas_ideal,SrF,3.3964662616265454e-42
4,solution,gas_ideal,SrF2,1.1160065765354816e-17
4,solution,gas_ideal,U,9.001254162448985e-155
4,solution,gas_ideal,UF3,6.407698672962578e-34
4,solution,gas_ideal,UF4,4.6856913191050175e-07
4,solution,gas_ideal,Zr,2.9715012461547817e-151
4,solution,gas_ideal,ZrF,2.0743214362532265e-122
4,solution,gas_ideal,ZrF2,3.6422283936290924e-63
4,solution,gas_ideal,ZrF3,1.0082423617768732e-35
4,solution,gas_ideal,ZrF4,1.3831687230283023e-07
6,solution,bccsoln,Mo,99.09730035400806
6,solution,bccsoln,Pd,0.015723368301791003
6,solution,bccsoln,Ru,0.7581119547906945
6,solution,bccsoln,Tc,0.1288643228994584
6,solution,cphsoln,Mo,23.98976225537474
6,solution,cphsoln,Pd,8.582805458300452
6,solution,cphsoln,Ru,67.418561740738
6,solution,cphsoln,Tc,0.008870545586806843
6,solution,gas_ideal,Ba,6.987892142935378e-69
6,solution,gas_ideal,Ba2,1.6723392010673491e-164
6,solution,gas_ideal,BaF,4.099549863534037e-41
6,solution,gas_ideal,BaF2,8.046507388696048e-16
6,solution,gas_ideal,Be,7.931068124133798e-63
6,solution,gas_ideal,Be2,7.634677926400805e-150
6,solution,gas_ideal,Be2F4,1.336652733502866e-08
6,solution,gas_ideal,BeF,2.83573716844432e-36
6,solution,gas_ideal,BeF2,0.00024013775611577242
6,solution,gas_ideal,Ce,2.490930103388764e-144
6,solution,gas_ideal,Ce2,2.0094950948327357e-197
6,solution,gas_ideal,CeF3,9.787066749463385e-15
6,solution,gas_ideal,Cs,2.6433493999950556e-36
