Timestep,UF3/UF4 Ratio
0,2.4402622213e-06
1,6.5862306259e-22
3,7.7502739397e-22
4,7.7586445162e-22
6,7.4806598781e-22
7,7.3145798416e-22
8,7.1496598911e-22
10,6.8532657931e-22
11,6.7220755686e-22
12,6.6025454477e-22
13,6.4933780916e-22
15,6.3008912202e-22
17,6.1359107884e-22
19,5.9968534463e-22
20,5.9356199815e-22
23,5.7715786907e-22
24,5.7228381098e-22
25,5.6775995196e-22
26,5.6353859283e-22
27,5.5949129892e-22
28,5.5568931461e-22
30,5.4859600661e-22
31,5.4528830176e-22
32,5.4213064503e-22
33,5.3917052578e-22
34,5.3630662176e-22
35,5.3358437641e-22
37,5.2851048448e-22
38,5.2609702567e-22
39,5.2377578309e-22
40,5.2153775661e-22
42,5.1733353954e-22
45,5.1158154455e-22
47,5.0809919133e-22
48,5.0642199024e-22
49,5.0479923285e-22
50,5.0329974380e-22
51,5.0174913467e-22
52,5.0031758346e-22
53,4.9886977036e-22
54,4.9744662771e-22
55,4.9616065738e-22
56,4.9483194433e-22
57,4.9358553421e-22
58,4.9237500683e-22
60,4.8999698127e-22
61,4.8886107696e-22
62,4.8774295353e-22
64,4.8558408813e-22
65,4.8457889055e-22
66,4.8355492909e-22
67,4.8250803629e-22
68,4.8157265350e-22
70,4.7967805831e-22
71,4.7879510184e-22
72,4.7791212286e-22
73,4.7703063292e-22
74,4.7620212779e-22
75,4.7535512557e-22
76,4.7454766760e-22
77,4.7372795204e-22
78,4.7294871234e-22
79,4.7219753919e-22
80,4.7144285154e-22
81,4.7072218308e-22
82,4.6993818760e-22
83,4.6923280957e-22
84,4.6854467658e-22
85,4.6783320554e-22
86,4.6718018162e-22
87,4.6646483845e-22
89,4.6523176734e-22
93,4.6275481308e-22
94,4.6217526008e-22
96,4.6106456092e-22
97,4.6049223823e-22
98,4.5993445968e-22
99,4.5941232454e-22
101,4.5837155001e-22
103,4.5734592782e-22
105,4.5637903335e-22
106,4.5591120183e-22
107,4.5544761043e-22
108,4.5496898417e-22
109,4.5448012995e-22
110,4.5402722981e-22
111,4.5359974573e-22
113,4.5270975707e-22
114,4.5224147567e-22
115,4.5185774358e-22
116,4.5143880566e-22
117,4.5102105551e-22
118,4.5058053952e-22
119,4.5022995721e-22
121,4.4943816180e-22
122,4.4905062935e-22
123,4.4867034680e-22
124,4.4828033154e-22
126,4.4750173114e-22
128,4.4678698713e-22
130,4.4613845147e-22
132,4.4547446639e-22
134,4.4478700560e-22
136,4.4412067811e-22
138,4.4347698623e-22
140,4.4288880210e-22
141,4.4256308396e-22
142,4.4230190348e-22
144,4.4168392988e-22
148,4.4057610441e-22
150,4.3996958177e-22
152,4.3949287562e-22
156,4.3844975735e-22
