Timestep,Cr2+/Cr3+ Ratio
8,2.5350922071e-18
9,2.4809341563e-18
10,2.4327142662e-18
13,2.3077214063e-18
14,2.2723306144e-18
15,2.2404075766e-18
18,2.1586044408e-18
19,2.1350492295e-18
20,2.1129168326e-18
22,2.0739732283e-18
23,2.0565987165e-18
24,2.0400619576e-18
25,2.0242014793e-18
26,2.0092386228e-18
27,1.9954632619e-18
28,1.9822821979e-18
29,1.9696689859e-18
30,1.9578099546e-18
31,1.9464210078e-18
32,1.9355210566e-18
33,1.9251634319e-18
34,1.9151141030e-18
35,1.9058133772e-18
36,1.8967213909e-18
38,1.8799927120e-18
40,1.8645610755e-18
41,1.8571966227e-18
42,1.8501413622e-18
43,1.8432099384e-18
44,1.8364548289e-18
45,1.8300032873e-18
46,1.8238243355e-18
47,1.8177561537e-18
48,1.8119688114e-18
49,1.8063018413e-18
50,1.8009183815e-18
51,1.7957762743e-18
53,1.7857166909e-18
55,1.7763197053e-18
57,1.7673887524e-18
58,1.7630765285e-18
59,1.7588706218e-18
61,1.7509001942e-18
62,1.7470540884e-18
63,1.7434864545e-18
64,1.7398516903e-18
65,1.7362172964e-18
66,1.7326463865e-18
67,1.7291801037e-18
68,1.7258155417e-18
69,1.7224919308e-18
72,1.7129806638e-18
73,1.7100730740e-18
74,1.7071222140e-18
75,1.7042822884e-18
76,1.7014961979e-18
77,1.6987080996e-18
78,1.6960026517e-18
79,1.6933549174e-18
80,1.6907581493e-18
81,1.6881825536e-18
82,1.6857643951e-18
83,1.6832888601e-18
84,1.6809452267e-18
85,1.6786133453e-18
87,1.6740958785e-18
88,1.6717969923e-18
90,1.6675288863e-18
91,1.6654203765e-18
92,1.6633451046e-18
93,1.6613027566e-18
94,1.6593355357e-18
95,1.6573653768e-18
97,1.6535363777e-18
98,1.6516772369e-18
99,1.6498707078e-18
100,1.6480377723e-18
101,1.6462820091e-18
102,1.6445150858e-18
103,1.6428303711e-18
104,1.6411299231e-18
107,1.6362633324e-18
108,1.6347294481e-18
109,1.6331796933e-18
110,1.6316633985e-18
111,1.6301086146e-18
112,1.6286227731e-18
113,1.6271468208e-18
114,1.6257144978e-18
116,1.6228248214e-18
117,1.6214600143e-18
118,1.6200379799e-18
119,1.6187107628e-18
120,1.6173708462e-18
121,1.6160996023e-18
123,1.6134869779e-18
124,1.6122446140e-18
125,1.6110427790e-18
128,1.6074466602e-18
129,1.6062211160e-18
130,1.6050886773e-18
131,1.6039278491e-18
132,1.6028036984e-18
133,1.6017028961e-18
134,1.6005885001e-18
135,1.5995097146e-18
136,1.5984504105e-18
137,1.5973774234e-18
138,1.5963254871e-18
139,1.5952733411e-18
140,1.5942591036e-18
142,1.5922287853e-18
143,1.5912454608e-18
144,1.5902185273e-18
145,1.5892571969e-18
146,1.5882604506e-18
147,1.5873725992e-18
148,1.5864235036e-18
149,1.5854997776e-18
150,1.5845964063e-18
151,1.5836626748e-18
152,1.5827766640e-18
153,1.5819034262e-18
154,1.5810240558e-18
155,1.5801767982e-18
156,1.5793414121e-18
157,1.5784837261e-18
158,1.5776621630e-18
159,1.5768098627e-18
160,1.5760426882e-18
162,1.5744168102e-18
163,1.5736383486e-18
164,1.5728656555e-18
165,1.5720642787e-18
166,1.5713001889e-18
167,1.5705541070e-18
168,1.5698118719e-18
170,1.5683550277e-18
171,1.5675866371e-18
173,1.5661594605e-18
174,1.5654310075e-18
175,1.5647868493e-18
176,1.5640984910e-18
177,1.5634108470e-18
179,1.5620790461e-18
180,1.5614080350e-18
181,1.5607630658e-18
182,1.5600775978e-18
183,1.5594345895e-18
184,1.5587855027e-18
185,1.5581449235e-18
186,1.5575175147e-18
187,1.5568797178e-18
188,1.5563216950e-18
189,1.5557209613e-18
190,1.5550894485e-18
191,1.5544759575e-18
192,1.5538998179e-18
193,1.5532757943e-18
194,1.5526975477e-18
195,1.5521213239e-18
196,1.5515577271e-18
197,1.5509551086e-18
198,1.5504109902e-18
199,1.5498509872e-18
200,1.5492755762e-18
201,1.5487401213e-18
202,1.5481627281e-18
203,1.5476203744e-18
204,1.5470913313e-18
205,1.5464912306e-18
206,1.5459360856e-18
207,1.5455006857e-18
208,1.5449749168e-18
209,1.5444552598e-18
210,1.5439639898e-18
211,1.5434698858e-18
212,1.5429720857e-18
213,1.5425345939e-18
214,1.5420189236e-18
215,1.5415235937e-18
216,1.5410652081e-18
218,1.5400981167e-18
219,1.5396012128e-18
220,1.5391539272e-18
221,1.5386782739e-18
222,1.5382147122e-18
223,1.5377411627e-18
224,1.5373578416e-18
225,1.5369093405e-18
227,1.5359775293e-18
228,1.5355566907e-18
229,1.5351100265e-18
230,1.5346499461e-18
231,1.5342647215e-18
232,1.5338393237e-18
233,1.5334037837e-18
234,1.5330315562e-18
235,1.5326301152e-18
236,1.5322005894e-18
237,1.5318016921e-18
239,1.5309463532e-18
240,1.5305429080e-18
242,1.5297857359e-18
244,1.5290161286e-18
245,1.5286134886e-18
246,1.5282660599e-18
247,1.5278652816e-18
248,1.5275152734e-18
249,1.5271182855e-18
250,1.5267577377e-18
251,1.5264020566e-18
252,1.5260326760e-18
253,1.5256692360e-18
254,1.5253022973e-18
255,1.5249236585e-18
257,1.5242672175e-18
258,1.5239298180e-18
260,1.5232371131e-18
261,1.5229476468e-18
262,1.5225959717e-18
263,1.5222761984e-18
264,1.5219213960e-18
265,1.5216174031e-18
266,1.5212691372e-18
267,1.5209397511e-18
268,1.5206339668e-18
