Timestep,# solution phases,# pure condensed phases,S:MSFL,S:bccsoln,S:cphsoln,S:gas_ideal
159,3,0,1,1,,1
160,3,0,1,1,,1
162,3,0,1,1,,1
163,3,0,1,1,,1
164,3,0,1,1,,1
165,3,0,1,1,,1
166,3,0,1,1,,1
167,3,0,1,1,,1
168,3,0,1,1,,1
170,3,0,1,1,,1
171,3,0,1,1,,1
173,3,0,1,1,,1
174,3,0,1,1,,1
175,3,0,1,1,,1
176,3,0,1,1,,1
177,3,0,1,1,,1
179,3,0,1,1,,1
180,3,0,1,1,,1
181,3,0,1,1,,1
182,3,0,1,1,,1
183,3,0,1,1,,1
184,3,0,1,1,,1
185,3,0,1,1,,1
186,3,0,1,1,,1
187,3,0,1,1,,1
188,3,0,1,1,,1
189,3,0,1,1,,1
190,3,0,1,1,,1
191,3,0,1,1,,1
192,3,0,1,1,,1
193,3,0,1,1,,1
194,3,0,1,1,,1
195,3,0,1,1,,1
196,3,0,1,1,,1
197,3,0,1,1,,1
198,3,0,1,1,,1
199,3,0,1,1,,1
200,3,0,1,1,,1
201,3,0,1,1,,1
202,3,0,1,1,,1
203,3,0,1,1,,1
204,3,0,1,1,,1
205,3,0,1,1,,1
206,3,0,1,1,,1
207,3,0,1,1,,1
208,3,0,1,1,,1
209,3,0,1,1,,1
210,3,0,1,1,,1
211,3,0,1,1,,1
212,3,0,1,1,,1
213,3,0,1,1,,1
214,3,0,1,1,,1
215,3,0,1,1,,1
216,3,0,1,1,,1
218,3,0,1,1,,1
219,3,0,1,1,,1
220,3,0,1,1,,1
221,3,0,1,1,,1
222,3,0,1,1,,1
223,3,0,1,1,,1
224,3,0,1,1,,1
225,3,0,1,1,,1
227,3,0,1,1,,1
228,3,0,1,1,,1
229,3,0,1,1,,1
230,3,0,1,1,,1
231,3,0,1,1,,1
232,3,0,1,1,,1
233,3,0,1,1,,1
234,3,0,1,1,,1
235,3,0,1,1,,1
236,3,0,1,1,,1
237,3,0,1,1,,1
239,3,0,1,1,,1
240,3,0,1,1,,1
242,3,0,1,1,,1
244,3,0,1,1,,1
245,3,0,1,1,,1
246,3,0,1,1,,1
247,3,0,1,1,,1
248,3,0,1,1,,1
249,3,0,1,1,,1
250,3,0,1,1,,1
251,3,0,1,1,,1
252,3,0,1,1,,1
253,3,0,1,1,,1
254,3,0,1,1,,1
255,3,0,1,1,,1
257,3,0,1,1,,1
258,3,0,1,1,,1
260,3,0,1,1,,1
261,3,0,1,1,,1
262,3,0,1,1,,1
263,3,0,1,1,,1
264,3,0,1,1,,1
265,3,0,1,1,,1
266,3,0,1,1,,1
267,3,0,1,1,,1
268,3,0,1,1,,1
272,3,0,1,1,,1
273,3,0,1,1,,1
275,3,0,1,1,,1
276,3,0,1,1,,1
277,3,0,1,1,,1
282,3,0,1,1,,1
283,3,0,1,1,,1
284,3,0,1,1,,1
286,3,0,1,1,,1
287,3,0,1,1,,1
288,3,0,1,1,,1
290,3,0,1,1,,1
291,3,0,1,1,,1
292,3,0,1,1,,1
294,3,0,1,1,,1
295,3,0,1,1,,1
296,3,0,1,1,,1
297,3,0,1,1,,1
298,3,0,1,1,,1
299,3,0,1,1,,1
300,3,0,1,1,,1
301,3,0,1,1,,1
302,3,0,1,1,,1
303,3,0,1,1,,1
304,3,0,1,1,,1
305,3,0,1,1,,1
306,3,0,1,1,,1
307,3,0,1,1,,1
308,3,0,1,1,,1
309,3,0,1,1,,1
310,3,0,1,1,,1
311,3,0,1,1,,1
313,3,0,1,1,,1
314,3,0,1,1,,1
315,3,0,1,1,,1
316,3,0,1,1,,1
317,3,0,1,1,,1
318,3,0,1,1,,1
320,3,0,1,1,,1
321,3,0,1,1,,1
322,3,0,1,1,,1
323,3,0,1,1,,1
326,3,0,1,1,,1
327,3,0,1,1,,1
328,3,0,1,1,,1
330,3,0,1,1,,1
331,3,0,1,1,,1
332,3,0,1,1,,1
333,3,0,1,1,,1
335,3,0,1,1,,1
336,3,0,1,1,,1
337,3,0,1,1,,1
340,3,0,1,1,,1
341,3,0,1,1,,1
342,3,0,1,1,,1
343,3,0,1,1,,1
344,3,0,1,1,,1
345,3,0,1,1,,1
347,3,0,1,1,,1
350,3,0,1,1,,1
352,3,0,1,1,,1
353,3,0,1,1,,1
355,3,0,1,1,,1
356,3,0,1,1,,1
357,3,0,1,1,,1
359,3,0,1,1,,1
361,3,0,1,1,,1
362,3,0,1,1,,1
365,3,0,1,1,,1
366,3,0,1,1,,1
