Timestep,UF3/UF4 Ratio
0,2.4402622213e-06
1,6.5862306259e-22
2,7.4439905052e-22
3,7.7686081451e-22
4,7.7739225852e-22
5,7.6445082491e-22
6,7.4838960321e-22
8,7.1473692941e-22
9,6.9908895611e-22
10,6.8514528344e-22
13,6.4895454275e-22
14,6.3869065836e-22
15,6.2941573739e-22
18,6.0559771550e-22
19,5.9872420380e-22
20,5.9225569237e-22
22,5.8083711947e-22
23,5.7573273816e-22
24,5.7086902564e-22
25,5.6619207494e-22
26,5.6177747768e-22
27,5.5770332407e-22
28,5.5379728296e-22
29,5.5006126377e-22
30,5.4653345927e-22
31,5.4313336565e-22
32,5.3989365849e-22
33,5.3679924050e-22
34,5.3381348199e-22
35,5.3101507376e-22
36,5.2830375106e-22
38,5.2326223184e-22
40,5.1860458440e-22
41,5.1637003449e-22
42,5.1423893268e-22
43,5.1213611509e-22
44,5.1009003380e-22
45,5.0812107427e-22
46,5.0624552031e-22
47,5.0439125364e-22
48,5.0262420670e-22
49,5.0088376449e-22
50,4.9923963084e-22
51,4.9764819326e-22
53,4.9455026569e-22
55,4.9164267807e-22
57,4.8887456982e-22
58,4.8753726872e-22
59,4.8623536648e-22
61,4.8375445612e-22
62,4.8254642368e-22
63,4.8147289115e-22
64,4.8031473889e-22
65,4.7914898859e-22
66,4.7800848913e-22
67,4.7690776690e-22
68,4.7584934247e-22
69,4.7480431010e-22
72,4.7178743657e-22
73,4.7086570643e-22
74,4.6992904060e-22
75,4.6902607512e-22
76,4.6813074873e-22
77,4.6723501915e-22
78,4.6637132711e-22
79,4.6551781929e-22
80,4.6468583897e-22
81,4.6385716069e-22
82,4.6308928756e-22
83,4.6227292946e-22
84,4.6152638855e-22
85,4.6076875368e-22
87,4.5930322110e-22
88,4.5855254683e-22
90,4.5716435735e-22
91,4.5647516803e-22
92,4.5579095792e-22
93,4.5512998949e-22
94,4.5449002290e-22
95,4.5384473080e-22
97,4.5258641123e-22
98,4.5196575903e-22
99,4.5137131088e-22
100,4.5076264165e-22
101,4.5018867675e-22
102,4.4958567506e-22
103,4.4903910011e-22
104,4.4846462980e-22
107,4.4684989435e-22
108,4.4633588301e-22
109,4.4581015236e-22
110,4.4532691855e-22
111,4.4478623811e-22
112,4.4429014449e-22
113,4.4378684210e-22
114,4.4331070355e-22
116,4.4233099472e-22
117,4.4187821099e-22
118,4.4138076168e-22
119,4.4094250596e-22
120,4.4049458413e-22
121,4.4005312549e-22
123,4.3916834397e-22
124,4.3874101855e-22
125,4.3833076265e-22
128,4.3710483692e-22
129,4.3666731086e-22
130,4.3629136684e-22
131,4.3588370901e-22
132,4.3549586684e-22
133,4.3512020904e-22
134,4.3472530677e-22
135,4.3435774629e-22
136,4.3399634797e-22
137,4.3361521390e-22
138,4.3325390187e-22
139,4.3288101997e-22
140,4.3252971866e-22
142,4.3181225865e-22
143,4.3148321343e-22
144,4.3110638936e-22
145,4.3078861334e-22
146,4.3042086563e-22
147,4.3013277837e-22
148,4.2979786545e-22
149,4.2947072733e-22
150,4.2914855827e-22
